,dipole_moment,FPSA3,nHRing,avg_atoms_in_cycle,PNSA5,nN,nF,nFRing,tpsa+f,f_freedom,f_atom_fraction,mol_num_cycles,nO,nFAHRing,distance_between_atoms_in_f_group_centers,nC,PBF,nAHRing,mol_volume,nFaRing,f_to_fg,GeomShapeIndex,cis/trans,PPSA5,nFHRing,nFaHRing,RPCS,naRing,nFARing,naHRing,chirality,nARing,TASA,fold_id,logP
4,2.665941363820697,0.0451859207676332,0,3.0,-29.793930518103025,0,2,1,71.31501602232542,0,0.2857142857142857,2,2,0,1.858447673201752,7,0.7964923245058986,0,132.52,0,2.0,0.8004850388878918,1,14.92007473347024,0,0,20.595645569371552,0,1,0,3,2,137.36441803106385,0,2.37
5,7.41350541419269e-14,0.0450266280175609,0,3.0,-30.891759065232336,0,2,1,71.54379598500583,0,0.2857142857142857,2,2,0,2.120074933236484,7,0.6888651599721769,0,132.44,0,2.0,0.8798207937895168,2,14.721238775781188,0,0,21.43438226676678,0,1,0,3,2,132.84022962466886,1,2.88
10,1.7973853254666103,0.0385267254074045,0,4.0,-35.97156180758108,0,3,0,86.83899789270555,0,0.5,1,2,0,5.055790872560269,6,0.6540065210074811,0,130.94,0,2.0,0.6229457006751816,2,14.005185797441891,0,0,0.4716831759309227,0,0,0,0,1,213.6383729604581,0,3.02
11,2.5913113854744343,0.0401965472906642,0,4.0,-35.65114514201758,0,3,0,86.94731827513812,0,0.5,1,2,0,1.498352188301075,6,0.658894080991424,0,130.94,0,2.0,0.8575613232397992,1,14.741419717272937,0,0,0.1572277253103075,0,0,0,0,1,212.6672017056574,0,2.72
12,2.0096141714691997,0.048722222343033,0,4.0,-32.42283291856772,0,2,0,69.89459512901678,1,0.3333333333333333,1,2,0,1.606435986917827,6,0.6969982506556,0,124.89,0,2.0,0.6982012865406237,2,14.455130491128031,0,0,22.354959514561923,0,0,0,0,1,124.20217726081256,0,2.39
13,2.339098742547618,0.0468370215273792,0,4.0,-33.836905028895885,0,2,0,69.30100841493486,1,0.3333333333333333,1,2,0,1.3128742658120576,6,0.6085284906583982,0,125.1,0,2.0,0.7472505352559793,1,14.444846405010235,0,0,24.2335275409957,0,0,0,0,1,119.61213340278243,1,2.23
14,2.666525721598124e-13,0.0500896185403708,0,4.0,-23.14241982800826,0,1,0,53.9634923411824,1,0.1666666666666666,1,2,0,1.9698414253271987,6,0.7566788021710624,0,120.02,0,2.0,0.7369852285984115,2,14.7434613912726,0,0,18.81293691908742,0,0,0,0,1,151.95387106950585,0,2.14
15,1.037416537477455e-13,0.0501258735177767,0,4.0,-23.550265972435845,0,1,0,53.94977708507511,1,0.1666666666666666,1,2,0,1.3724615056509162,6,0.7100627643370322,0,120.08,0,2.0,0.7497014588675519,1,14.836270197587274,0,0,19.88092023763824,0,0,0,0,1,150.96746505690336,0,1.96
18,8.18325690064733e-14,0.0461761377018303,0,4.0,-43.76280965929365,0,2,0,71.6175609675466,0,0.4,1,2,0,1.1554117616860813,5,0.5903829288016096,0,109.54,0,1.0,0.8832496313749941,0,13.476809361081507,0,0,21.30655302947471,0,0,0,0,1,96.52223860826808,0,2.26
19,1.0226962077771606e-13,0.0425811859490791,0,5.0,-29.050345611389066,0,2,0,69.52368806229495,0,0.3333333333333333,1,2,0,1.2719356012917198,6,0.7594846882172082,0,123.51,0,2.0,0.7432703191313329,0,15.180190460346552,0,0,18.911509222439424,0,0,0,0,1,135.55657649332557,1,2.25
20,2.5861107705277362e-14,0.0439471474020902,0,5.0,-35.99139820379941,0,2,0,69.95463158875981,0,0.3333333333333333,1,2,0,1.8275760561371728,6,0.6110579242547812,0,123.45,0,2.0,0.9212469923616556,0,13.206248345831114,0,0,23.959083180570563,0,0,0,0,1,120.1292670855177,0,2.5
21,0.4458084892907972,0.0433647072309179,0,6.0,-24.95173561988011,0,2,0,69.87951681258363,0,0.2857142857142857,1,2,0,2.451301464360601,7,0.6207785552918198,0,138.74,0,2.0,0.8567741221390269,0,15.919944567693657,0,0,23.50671740750368,0,0,0,0,1,158.31308881860684,0,2.5
23,2.0236233547112952e-13,0.0384648840094387,0,7.0,-23.252160016889395,0,2,0,63.886545088313134,0,0.25,1,2,0,2.8766409149260035,8,0.8478883846511579,0,154.06,0,1.0,0.7102688409030519,0,15.628378678838564,0,0,6.146965759162364,0,0,0,0,1,182.06296389139644,0,2.9
24,0.2012045888241458,0.0384807558153738,0,7.0,-27.076422683959528,0,2,0,68.2342847014452,0,0.25,1,2,0,2.272670170443212,8,0.7361649905506692,0,154.3,0,2.0,0.6880421818560744,0,14.196844698819575,0,0,7.145423127159609,0,0,0,0,1,171.19160296594947,0,3.03
25,1.6594994366310078e-13,0.0412257699900023,0,7.0,-26.21332591759056,0,2,0,69.0653140858843,0,0.25,1,2,0,2.311998942357128,8,0.7218975429043217,0,155.18,0,2.0,0.8082580039745423,0,14.11738357175663,0,0,19.181318821573765,0,0,0,0,1,166.19199670415207,1,2.95
41,4.355631402093501,0.0373397997635106,0,4.0,-36.49464740238179,0,3,0,86.91637129051837,0,0.5,1,2,0,1.8294015180011367,6,0.7551826882287898,0,130.38,0,2.0,0.7161804826385444,1,14.118998572204276,0,0,0.4786735772335248,0,0,0,2,1,213.56126529738904,0,2.88
42,1.321373695476051e-13,0.0463783346559465,0,4.0,-32.67630514229666,0,2,0,71.16123954896986,1,0.3333333333333333,1,2,0,1.865280613741343,6,0.5998691917241106,0,125.39,0,2.0,0.6277195288562936,2,14.882806885916718,0,0,22.669462471414807,0,0,0,2,1,127.19072174647393,1,2.22
43,1.0592068787543289e-13,0.0507579493415174,0,4.0,-26.129187616698697,0,1,0,54.12139817635386,1,0.1666666666666666,1,2,0,1.5225163003964135,6,0.6458141075345936,0,119.46,0,2.0,0.8506942937777201,2,14.04113254314738,0,0,16.491148092704556,0,0,0,2,1,159.3274200992412,1,2.11
44,9.666900013476234e-14,0.0418977510245668,0,3.0,-42.3649083199637,0,3,0,86.85467427954009,0,0.6,1,2,0,1.5658064489226158,5,0.6724971165784714,0,116.06,0,2.0,0.8933830274788859,2,13.654480049169187,0,0,0.9198095431110276,0,0,0,2,1,191.30629717730744,1,2.98
45,1.3358880891526212e-12,0.0430302321860851,0,3.0,-38.60939231003256,0,3,0,87.92832339046717,0,0.6,1,2,0,1.9374347861812664,5,0.6848130271678016,0,116.12,0,2.0,0.7936358600215251,1,15.587311404034226,0,0,0.0,0,0,0,2,1,197.34768063677944,0,2.12
46,2.588083033066342,0.0491435615515878,0,3.0,-41.116119352302334,0,2,0,70.84517285325882,1,0.4,1,2,0,1.7566844163238675,5,0.6344759749408971,0,111.42,0,2.0,0.8768385890322357,2,14.0155158725808,0,0,29.6529540983078,0,0,0,2,1,97.51218444357885,1,2.28
47,0.2659983451161208,0.0469174897461607,0,3.0,-39.122115736370645,0,2,0,70.75356650173825,1,0.4,1,2,0,2.020681750205496,5,0.7492587809847537,0,110.85,0,2.0,0.5080799050260356,1,14.297587746066045,0,0,23.813603137410265,0,0,0,2,1,101.31351155442248,0,2.35
48,2.86548690112818,0.0561694339204862,0,3.0,-31.451266215924704,0,1,0,54.03459955497518,1,0.2,1,2,0,1.3859805176017377,5,0.6742527446752573,0,105.88,0,2.0,0.928441507217276,2,14.17988858829044,0,0,24.31529800073715,0,0,0,2,1,135.25500326426263,1,1.12
53,5.2443820432814817e-14,0.0458871446021059,0,2.5,-33.215686716637066,0,2,0,72.96520224098435,0,0.3333333333333333,2,2,0,0.933216807055182,6,0.7532315245237918,0,119.14,0,2.0,0.7426801856269057,0,16.45504745258944,0,0,27.41741552221743,0,0,0,0,2,125.16304246929076,1,2.42
54,2.681560319528185e-13,0.044296488990807,0,2.5,-38.65732998554312,0,2,0,72.88768416713668,0,0.3333333333333333,2,2,0,3.848881189950276,6,0.7943767012216993,0,120.04,0,2.0,0.6412310445619058,0,14.484191739185649,0,0,23.37407340477044,0,0,0,0,2,115.89050146707916,1,2.66
56,3.724336212244138,0.0352788221553065,0,3.0,-17.38097898800428,1,2,1,60.02130074772376,0,0.3333333333333333,2,0,0,5.495946305259386,6,0.7533120850449968,0,116.12,0,2.0,0.7018347438206075,1,10.747959976655064,0,0,8.598923548762269,0,1,0,3,2,184.94275715718703,1,2.47
57,7.444126100587448e-14,0.0331072084393549,0,6.0,-15.494784304712097,1,2,0,58.14926115243634,0,0.3333333333333333,1,0,0,1.464030600530468,6,0.7462150972744016,0,123.82,0,2.0,0.5754646851032826,0,10.452837258190042,0,0,0.0,0,0,0,0,1,202.83670844010567,1,2.31
61,1.2679524656788517e-13,0.0210488557121159,2,2.0,-16.635291290787293,1,3,1,64.03516720125688,0,0.5,3,0,1,3.1163370702433,6,0.7505699181587168,2,120.26,0,3.0,0.7404970060846187,0,11.659450587065294,1,0,0.1023189878464665,0,1,0,0,3,274.41736214560655,1,1.93
62,4.159619136514602e-14,0.0243829216979937,1,5.0,-17.695037036129786,1,3,0,62.40727775366543,0,0.6,1,0,0,3.1955386085650725,5,0.5885962814715089,1,112.97,0,2.0,0.6871393895102906,0,12.401989379557598,0,0,0.6218466166880408,0,0,0,0,1,271.73318734894764,1,2.12
66,2.8204035443571503e-14,0.019668034916029,1,3.5,-15.021862217054684,1,3,1,62.45241379418578,0,0.4285714285714285,2,0,1,2.356016855404396,7,0.8002783287235606,1,134.78,0,3.0,0.7088373089452366,0,11.97173591790953,1,0,0.1084972516026432,0,1,0,0,2,289.50766346993663,1,2.2
67,7.058093894545705e-14,0.0213387464978359,2,2.67,-13.303890101190229,1,3,1,59.70248636110354,0,0.375,3,0,1,2.98082029107338,8,0.9301444275816604,2,151.15,0,3.0,0.6101410357351497,0,12.727607096870784,1,0,0.114676151706168,0,1,0,0,3,308.72515397183554,0,2.51
68,5.4534557288336526e-14,0.0231736879472337,1,6.0,-15.139432118488186,1,3,0,61.56511700200023,0,0.5,1,0,0,2.777241635738379,6,0.5980347412990598,1,128.63,0,2.0,0.5851234407622666,0,13.5628588609996,0,0,0.2197597340508357,0,0,0,0,1,297.842740441624,0,2.54
73,2.308275722254116,0.0210485284278226,1,4.0,-13.188726807092303,1,3,1,59.73563076980709,0,0.375,2,0,1,2.6360462607461312,8,0.8354239187323663,1,150.69,0,2.0,0.5993954453049811,0,13.02682761339544,1,0,0.1146981129844174,0,1,0,0,2,310.1540284817729,1,2.67
76,1.5819436355373086e-13,0.0304427524046238,1,4.5,-9.35505742636052,1,2,1,42.49468024088932,0,0.25,2,0,1,1.9215948301827377,8,0.8879606913886274,1,144.84,0,4.0,0.5526668925360673,0,11.252780474449692,1,0,0.0,0,1,0,0,2,233.82306274109385,1,1.59
77,2.0703281073747866e-13,0.0268863819510422,1,4.5,-29.93532095285192,1,4,1,74.14865816878611,0,0.5,2,0,1,3.3227288793205743,8,0.9330308057914132,1,154.78,0,6.0,0.4361369694379315,0,11.262069608921024,1,0,0.0,0,1,0,0,2,187.4137500643768,1,1.84
78,1.7640476145079658e-13,0.0270295060801115,1,4.5,-12.176623330779975,1,2,1,41.816838632905046,0,0.25,2,0,1,4.731126314725333,8,0.8857033155023167,1,144.33,0,2.0,0.4690836060104572,0,10.553237978607402,1,0,0.0,0,1,0,0,2,230.58518199341864,0,2.18
80,1.920147972959545e-13,0.0375369742534813,2,4.5,-23.37638530329152,1,2,1,54.28975266735616,0,0.2857142857142857,2,1,1,4.383983126659072,7,0.9157235991197747,2,135.82,0,2.0,0.3916831244528449,0,12.88355499753134,1,0,0.0,0,1,0,0,2,209.346344072206,1,1.19
84,5.810318018576865e-14,0.0301248924180909,1,4.0,-14.593607123843055,1,2,1,39.03031081918064,0,0.2857142857142857,2,0,1,4.045330296287494,7,0.847967831608704,1,127.77,0,2.0,0.4393866937909215,0,10.012807404316003,1,0,0.0,0,1,0,0,2,212.80856108401784,0,2.09
88,8.665666956174395e-12,0.0395565964489408,1,4.0,-17.735559171897584,1,1,0,29.357565577843907,1,0.3333333333333333,1,0,0,4.629593075736477,3,0.6196949657428893,1,70.1,0,1.0,0.7283243928137546,0,9.170886904023387,0,0,24.810175906600524,0,0,0,0,1,148.57456948821488,0,0.94
91,5.3723010241392596e-14,0.0365850780350885,1,5.0,-10.556284474790964,1,1,0,27.57772191290507,1,0.25,1,0,0,1.9795894742170852,4,0.6464791663170608,1,85.82,0,2.0,0.3284791765947834,0,9.130213910194552,0,0,82.91746970088958,0,0,0,0,1,179.48833284158124,0,0.91
92,3.8338006093096104e-14,0.0323497658998792,1,5.0,-21.55384682794845,1,2,0,39.63469944195524,0,0.5,1,0,0,3.899524266211698,4,0.5885615585764054,1,91.26,0,2.0,0.3690626890250174,0,10.166325914322965,0,0,0.3918621818497305,0,0,0,0,1,154.80935263627927,0,1.35
93,1.6850263428482503e-14,0.0395829985773031,1,5.0,-24.00754789475732,1,2,0,44.85645302148215,1,0.5,1,0,0,3.4519897400406974,4,0.6214662623438268,1,91.29,0,4.0,0.3582576937283078,1,11.10267969027999,0,0,14.037178289868349,0,0,0,2,1,153.3601148045705,0,1.01
94,1.4676560509839894e-13,0.0416200207217612,1,5.0,-22.704183876144317,1,2,0,43.53010142552263,1,0.5,1,0,0,1.6266824122485903,4,0.6567232855549872,1,90.64,0,4.0,0.2974420681922394,2,11.274967529684735,0,0,20.53587194258517,0,0,0,2,1,155.73990811281797,1,1.08
95,4.6787306335515576e-14,0.0394650683614562,1,6.0,-6.933646669147641,1,1,0,27.09310175590838,1,0.2,1,0,0,3.995934007760215,5,0.5948829916548615,1,100.97,0,2.0,0.3178870517511228,0,10.39535026333485,0,0,118.14906232613856,0,0,0,0,1,217.76657442899307,1,1.26
96,6.067427235355675e-14,0.0295534265112808,1,6.0,-14.60464767029016,1,2,0,44.36020528330946,0,0.4,1,0,0,3.900861388022493,5,0.643954052769536,1,105.99,0,2.0,0.4842138379347567,0,10.43896794767949,0,0,0.1384142055906764,0,0,0,0,1,177.7328020171985,1,1.65
97,5.920653989142046e-14,0.0353620083255451,1,6.0,-26.17385498046721,1,2,0,42.25110510729213,1,0.4,1,0,0,2.180195332707485,5,0.5958611638541483,1,106.58,0,4.0,0.4256840062098966,1,9.78325476407208,0,0,135.21581137189577,0,0,0,2,1,170.58870232884505,1,0.58
98,9.149275129780995e-14,0.0377521986919224,1,6.0,-23.108202107944877,1,2,0,43.35811746805248,1,0.4,1,0,0,0.963138996978207,5,0.6831964398571216,1,106.89,0,4.0,0.4875236287773297,2,10.373055601685806,0,0,147.91118561396647,0,0,0,2,1,180.872944326762,1,1.35
100,9.417447173771365e-14,0.0370458608225549,1,6.0,-15.08112789085078,1,2,0,44.05375398235248,1,0.4,1,0,0,0.90449047332015,5,0.5962083477705359,1,106.57,0,4.0,0.3651779464481849,1,11.621823860851364,0,0,6.123088871086298,0,0,0,2,1,180.81702004439177,0,1.15
101,3.3243764917589774e-14,0.0354004654720054,1,6.0,-16.02093919103602,1,2,0,42.993272115219234,1,0.4,1,0,0,2.221028877851713,5,0.5817606416735754,1,106.9,0,4.0,0.371018489087168,2,11.411174831748816,0,0,8.519080168467893,0,0,0,2,1,177.59674008184936,1,1.26
106,3.610820110522914e-14,0.0293181189255953,0,4.0,-21.378993891645575,1,3,0,76.145799783415,0,0.6,1,0,0,4.734559017780708,5,0.6998550587234335,0,113.81,0,2.0,0.6334926834744109,2,11.102561134911824,0,0,0.3233609764158326,0,0,0,0,1,262.4206529873001,1,2.82
107,0.3468717535463308,0.0284195848604639,0,4.0,-21.067285899619897,1,3,0,75.6155676020786,0,0.6,1,0,0,1.409413118714635,5,0.7939655460007901,0,113.86,0,2.0,0.5816947083013514,1,11.398004479714343,0,0,0.2155739842772217,0,0,0,0,1,262.4083843059427,0,2.62
108,8.994770758888922e-14,0.0352487998501463,0,4.0,-19.48778677418744,1,2,0,57.88296217673715,1,0.4,1,0,0,1.4442575756725309,5,0.7333153666056985,0,108.82,0,2.0,0.6309997858207242,2,10.469818786176685,0,0,4.430744093270369,0,0,0,0,1,169.9562540049674,1,1.97
109,4.6216012157629684e-14,0.0392165069640632,0,4.0,-17.324529008445232,1,2,0,59.76597385329603,1,0.4,1,0,0,1.2905102560013275,5,0.8058785571132024,0,108.58,0,2.0,0.6712949601926429,1,11.14736993479885,0,0,7.5955613027492035,0,0,0,0,1,175.8456094537498,0,1.98
110,7.701796648733003e-14,0.0410728447457444,0,4.0,-10.261374099258145,1,1,0,42.83563291981147,1,0.2,1,0,0,4.682769455540432,5,0.7099097569393543,0,102.97,0,2.0,0.6375744346865097,2,10.238194592350002,0,0,88.42418951303335,0,0,0,0,1,203.91984502463217,1,1.78
111,1.192577503077118e-13,0.0420836272867971,0,4.0,-10.17369987794032,1,1,0,42.53816945860519,1,0.2,1,0,0,4.692856018742466,5,0.7187480092092772,0,103.46,0,2.0,0.7126027860146485,1,10.382594343794317,0,0,98.8320127762899,0,0,0,0,1,204.51613307626067,0,1.77
112,7.875338407752738e-14,0.0236492204526912,1,6.0,-15.096111514258844,1,3,0,60.78269027758807,0,0.5,1,0,0,2.919900227705462,6,0.5901884179890671,1,129.1,0,2.0,0.5958572814387458,0,13.608496138328167,0,0,0.2197597340508357,0,0,0,0,1,298.5919208106533,1,2.54
113,1.1024275648884597e-13,0.0340377087904506,1,6.0,-11.84705711217952,1,2,0,43.04766707494768,1,0.3333333333333333,1,0,0,2.249387329041376,6,0.6207946458343392,1,123.56,0,2.0,0.6240232263115575,0,12.9046779086188,0,0,8.76431882938273,0,0,0,0,1,211.36519837472065,1,2.04
114,5.508194505678092e-14,0.0344279035638303,1,6.0,-8.088744222726383,1,1,0,26.76011624766774,1,0.1666666666666666,1,0,0,2.31722530987775,6,0.6043915781113224,1,118.46,0,2.0,0.5352833467315358,0,10.480549777441093,0,0,56.43432790547711,0,0,0,0,1,234.71263985336375,0,2.0
116,5.088940699425991e-14,0.022642901944729,1,5.0,-17.415465662572892,1,3,0,61.47917208389902,0,0.6,1,0,0,3.17996060575925,5,0.6778125818655801,1,113.0,0,2.0,0.6695003185765837,0,12.28559615123242,0,0,0.3109233083440204,0,0,0,0,1,263.76954594060726,0,2.12
117,8.161116880514854,0.0313276401815728,1,5.0,-14.420878523339596,1,2,0,43.88976565465315,1,0.4,1,0,0,2.568074937666837,5,0.670246346273359,1,107.48,0,2.0,0.61200916498398,0,11.558037718197625,0,0,4.930604175708893,0,0,0,0,1,179.22515685606226,0,1.88
118,1.437769679901089e-13,0.0372645462091965,1,5.0,-9.201248101739816,1,1,0,28.73640597691621,1,0.2,1,0,0,2.968224327254803,5,0.621224462326784,1,102.65,0,2.0,0.6646655519148158,0,10.294822019885162,0,0,91.29503011121534,0,0,0,0,1,215.02205647128304,0,1.75
120,5.1841003434430086e-14,0.0237563415337784,1,4.0,-20.884094341827076,1,3,0,61.61277861348943,0,0.75,1,0,0,3.29091777357669,4,0.6177602971732395,1,97.98,0,2.0,0.7271551439517541,0,11.485705768131044,0,0,0.4876218928746362,0,0,0,0,1,248.4309098291047,0,1.75
121,3.7081490572719853e-14,0.0353846213326147,1,4.0,-17.526902036660527,1,2,0,45.7831554971285,1,0.5,1,0,0,2.457819545311499,4,0.6266764983879467,1,92.58,0,2.0,0.7471571298002841,0,11.322843754277894,0,0,4.678610694188518,0,0,0,0,1,157.1623760352955,0,1.51
122,2.828700334809077e-14,0.0356608770527436,1,4.0,-12.955116160345506,1,1,0,26.526736475214072,1,0.25,1,0,0,2.462720013250961,4,0.6326487321089455,1,87.34,0,2.0,0.6790968623778465,0,8.98532262116835,0,0,77.30061404937489,0,0,0,0,1,177.8622022028675,0,1.4
128,3.409442455889136,0.0270409283850258,1,6.0,-16.41268523768398,1,3,0,59.69446908440225,0,0.5,1,0,0,4.315042763993011,6,0.5969027070325966,1,128.61,0,2.0,0.5773055647820464,0,12.131024621466858,0,0,0.329565899687439,0,0,0,0,1,289.73716222134385,0,2.21
129,0.162576444598462,0.0356406041843506,1,6.0,-13.141695912763243,1,2,0,44.30107454474165,1,0.3333333333333333,1,0,0,4.61435502541408,6,0.619310140289815,1,123.05,0,2.0,0.5592730830413777,0,11.588178877325428,0,0,5.788826152089177,0,0,0,0,1,207.29464808123132,1,1.73
130,1.529010903064073e-13,0.0337961410268291,1,6.0,-8.916770382530755,1,1,0,27.54352200090752,1,0.1666666666666666,1,0,0,4.4936121451993225,6,0.6134579614123067,1,118.06,0,2.0,0.6422838373782467,0,9.410899219647794,0,0,80.49253122379525,0,0,0,0,1,223.1462445719888,1,1.52
131,5.965286587548885e-14,0.0274212821124437,1,5.0,-18.828796480524613,1,3,0,61.14711223505358,0,0.6,1,0,0,4.738295182079836,5,0.6133142979130172,1,112.62,0,2.0,0.6870857223741798,0,11.505396065683096,0,0,0.5178620527002888,0,0,0,0,1,266.01211433425334,0,1.7
132,4.6771892176723175e-14,0.0365870228208366,1,5.0,-15.469867289111756,1,2,0,43.65360686429735,1,0.4,1,0,0,2.0031734523228453,5,0.6282504625393658,1,107.48,0,2.0,0.6876058285014618,0,10.934114532045424,0,0,6.702013653562004,0,0,0,0,1,180.9823346812884,1,1.4
134,9.465743538106229e-14,0.0241372042963305,1,4.0,-27.927411095755232,1,3,0,61.70806608572301,0,0.75,1,0,0,1.8136049523586617,4,0.6589667081744836,1,97.85,0,2.0,0.8831096367610483,0,10.0675231168531,0,0,0.3972150963667773,0,0,0,0,1,234.2843134393904,1,1.66
135,6.179625421141451e-14,0.0376268552414098,1,4.0,-23.3052565779033,1,2,0,43.74004262047647,1,0.5,1,0,0,3.718658585664615,4,0.5947681283280785,1,92.05,0,2.0,0.8060612404231347,0,10.353966547564475,0,0,5.714436735106119,0,0,0,0,1,152.88457403865738,1,1.4
136,4.4088890977913576e-14,0.0390899664857943,1,4.0,-18.46927198787143,1,1,0,26.755389590378087,1,0.25,1,0,0,2.878070779587368,4,0.57049880825873,1,87.04,0,2.0,0.7323207246916428,0,8.383642790319442,0,0,106.05281527224878,0,0,0,0,1,177.56126810846024,1,0.93
141,0.5570818433138562,0.0272768015145209,1,6.0,-15.00882204281632,1,3,0,59.85748873323671,0,0.5,1,0,0,4.87312084964917,6,0.6376119298323288,1,128.63,0,2.0,0.6158412843222035,0,12.298357040919742,0,0,0.3244759905858601,0,0,0,0,1,291.3117065812521,0,2.2
143,2.7306656959940373e-13,0.034808443256566,1,6.0,-7.561111550976551,1,1,0,26.84644298325179,1,0.1666666666666666,1,0,0,5.291729133176324,6,0.6279618380681369,1,118.21,0,2.0,0.6153583470292671,0,10.115107021077597,0,0,75.23498454700864,0,0,0,0,1,225.02598875848884,1,1.45
150,0.8813583607611821,0.0388678207236569,0,4.0,-20.826202466567054,1,2,0,60.53420600909094,0,0.5,1,0,0,1.0199145547761617,4,0.7082014140344505,0,91.07,0,1.0,0.428255604457166,0,10.795925489639757,0,0,2.653093021446074,0,0,0,0,1,159.40890976783786,0,1.94
151,4.5646236054191787e-14,0.0330606047957542,0,5.0,-16.066584434154304,1,2,0,59.22433886854801,0,0.4,1,0,0,1.073758148677198,5,0.6514929004494938,0,107.26,0,2.0,0.604852671258974,0,11.453788483518698,0,0,0.0,0,0,0,0,1,184.49002858206063,1,1.87
153,1.2834888841390234e-13,0.0309898859950099,0,6.0,-14.3881337527518,1,2,0,56.28432558995694,0,0.3333333333333333,1,0,0,1.5285813872197025,6,0.6223701133496742,0,122.44,0,2.0,0.5346762861786774,0,11.259401495196633,0,0,0.0,0,0,0,0,1,203.1480161816164,1,2.16
154,3.409442455889162,0.0333626608389483,0,6.0,-16.32034937968256,1,2,0,57.14723503744321,0,0.3333333333333333,1,0,0,4.464055431976662,6,0.6095576593916433,0,122.46,0,2.0,0.5139699750837128,0,10.36048986705108,0,0,0.0,0,0,0,0,1,200.0841275528936,1,2.31
155,1.8413885611824817e-13,0.0324910316285108,0,6.0,-15.38459931073676,1,2,0,57.827368616997816,0,0.3333333333333333,1,0,0,0.9952731701598512,6,0.7267001039165825,0,122.96,0,2.0,0.5549651319194124,0,10.241073254111884,0,0,0.0,0,0,0,0,1,198.8250322812436,0,2.32
156,1.6783693529527644e-13,0.0310517966196951,0,7.0,-12.513894900091923,1,2,0,53.78799643456856,0,0.2857142857142857,1,0,0,2.7535799714056317,7,0.7697123229698287,0,138.39,0,1.0,0.4309622258864742,0,11.806262921061805,0,0,0.0,0,0,0,0,1,226.1632305498271,1,2.56
157,1.8991716344833247,0.0313048810138502,0,7.0,-14.710723928759617,1,2,0,56.86653201146309,0,0.2857142857142857,1,0,0,1.651859073661615,7,0.6729026580171652,0,138.52,0,2.0,0.5225245099664655,0,10.478814227698386,0,0,0.0,0,0,0,0,1,217.99735120389056,0,2.57
158,6.149796318857842e-14,0.0316317541294679,0,7.0,-14.546163302772454,1,2,0,55.44255609244311,0,0.2857142857142857,1,0,0,2.161226782535295,7,0.7516735732555063,0,139.07,0,2.0,0.5184933837024479,0,10.347564533369024,0,0,0.0,0,0,0,0,1,217.2675577555355,1,2.5
168,1.481585275830226,0.0299597242350431,0,3.5,-16.347813160967835,1,2,0,60.2566914683857,0,0.2857142857142857,2,0,0,6.444383343604358,7,0.8083272233908106,0,132.63,0,2.0,0.8144474553771113,0,10.279217092450908,0,0,1.869556163033723,0,0,0,0,2,201.84904874029405,0,2.53
169,6.239125582605371e-14,0.0277986020944696,0,4.0,-22.06290228719596,1,3,0,75.65503120667042,0,0.6,1,0,0,3.163312641517174,5,0.6727389489188741,0,114.02,0,2.0,0.7040312378424092,2,11.39678004863242,0,0,0.5502486757624657,0,0,0,2,1,262.3285067316044,1,2.54
172,3.8911218460794156e-14,0.0292890736260597,0,3.0,-26.47006803895544,1,3,0,75.62292362976896,0,0.75,1,0,0,1.5960165367543877,4,0.6937144337470391,0,100.4,0,2.0,0.6657293836418091,2,10.92947804153692,0,0,0.3116353846456643,0,0,0,2,1,246.43394564272535,0,1.79
173,4.6910995621141115e-14,0.0277597350290554,0,3.0,-24.84350121436803,1,3,0,73.87074896236626,0,0.75,1,0,0,3.114655494904916,4,0.6966368489176735,0,99.56,0,2.0,0.5776609625262316,1,11.306940529954163,0,0,0.0,0,0,0,2,1,244.06649869527809,0,2.16
174,7.71050689898391e-14,0.0401332515445054,0,3.0,-22.667604542948062,1,2,0,57.94882340571976,1,0.5,1,0,0,1.2566028078577764,4,0.6613436034496092,0,94.33,0,2.0,0.693143151378823,2,10.975461115576554,0,0,5.740005160134484,0,0,0,2,1,155.1631136681871,1,1.64
175,4.555856017024574e-14,0.042360342499652,0,3.0,-20.44474223331488,1,2,0,59.57012539812207,1,0.5,1,0,0,3.0826453694768303,4,0.696740201147752,0,94.7,0,2.0,0.5694267879198862,1,11.743144508082866,0,0,4.8336885559027225,0,0,0,2,1,164.31001554635722,0,1.36
182,1.128336215379171e-13,0.0353546938106894,0,2.5,-21.56448052361081,1,2,0,61.598077792223805,0,0.4,2,0,0,0.9814043431024068,5,0.7058080440371977,0,103.53,0,2.0,0.756389007672506,0,11.165050910195957,0,0,7.543901205894759,0,0,0,0,2,172.17510829049928,1,2.04
