,f_freedom,distance_between_atoms_in_cycle_and_f_group,PPSA5,mol_num_cycles,nFRing,angle_R1X1R2,nF,identificator,mol_weight,dipole_moment,nHRing,nO,PBF,nC,angle_X2X1R1,nARing,angle_R2X2R1,cis/trans,PNSA5,FPSA3,mol_volume,RPCS,GeomShapeIndex,WPSA5,TASA,f_to_fg,dihedral_angle,distance_between_atoms_in_f_group_centers,avg_atoms_in_cycle,angle_X1X2R2,nFHRing,chirality,fold_id,logP
1,1,,16.178954463003187,2,0,,0,0,128.171,0.5078535990288049,0,1,0.4808303885503841,13,,1,,0,-11.645423016221184,0.033182947143795,204.23200000000008,27.282694912264283,0.859999563218155,6.805737109070617,386.2170026031236,0.0,,,6.0,,0,0,0,2.88
2,1,,15.488152566630044,3,1,,0,0,126.155,0.5010310823904872,0,1,0.4828520954348051,13,,2,,2,-13.22107907766412,0.0296517445236834,196.65600000000003,16.638718018366784,0.9582739106695084,6.398578343043645,374.39293772710914,0.0,,,4.0,,0,3,1,2.87
3,1,,15.945792965693858,3,1,,0,0,126.155,0.50585224041505,0,1,0.6619857997173412,13,,2,,1,-12.411147886626113,0.0326247528294922,196.64800000000005,20.164803956033914,0.7543356260536737,6.565329147400505,380.7788516391349,0.0,,,4.0,,0,3,1,2.92
4,0,3.108984175273619,16.47288569623169,3,1,103.61050262439656,2,0,162.136,0.4938852929020028,0,1,0.5686488606279326,13,111.87620414509158,2,117.19209613828556,1,-24.041908046522217,0.0307486096621596,205.7680000000001,11.184997724580647,0.8917720547342379,7.112882414092715,315.3506123571293,2.0,2.0464016225144363e-06,4.371637768635094,4.0,138.26247289310174,0,3,0,2.37
5,0,2.933214634049942,16.751082185570393,3,1,178.38904006428888,2,0,162.136,0.3993679124901231,0,1,0.5092653146118479,13,171.0495963794899,2,134.6200472486615,2,-23.19550574153344,0.0312537988410824,207.80000000000004,13.42199726949678,0.8918694566760227,7.182593075064716,315.52335078887245,2.0,172.1344503338609,5.0479496628064044,4.0,131.59326334524167,0,3,0,2.88
6,1,,15.254802996841155,2,0,,0,0,100.117,0.5135142852675479,0,1,0.4735359524552176,11,,1,,0,-13.36263793066799,0.0347973760625621,173.22400000000005,21.742879230255003,0.9261913075297316,5.791747265071259,346.099749372459,0.0,,,5.0,,0,0,0,2.26
7,1,,16.376176513976084,2,0,,1,0,132.134,0.4090477991405749,0,1,0.4475335401801365,12,,1,,0,-18.235160264438463,0.0319990285780524,195.0480000000001,21.139894117148376,0.8696031334882842,6.58249358735881,339.3300350997094,1.0,,,5.0,,0,0,0,1.88
8,1,,17.81613507483048,2,0,,2,0,150.125,0.2483701142269038,0,1,0.6435379717816732,12,,1,,0,-22.541757407794844,0.0296496016271978,200.43200000000004,10.439979749174524,0.9487117122533276,7.325462733049752,316.2454746213596,1.0,,,5.0,,0,0,0,2.19
9,0,,17.77723217872871,2,0,,3,0,168.115,0.5912242784251608,0,1,0.7539504817986086,12,,1,,0,-25.30222225492349,0.0222630270540219,205.43200000000004,0.173454623770158,0.8376223997292591,7.375458070608578,392.43018029579554,1.0,,,5.0,,0,0,0,2.51
10,0,2.169807044815789,17.198535213955942,2,0,169.4421852352424,3,0,168.115,0.2146938248541984,0,1,0.4941620477744243,12,143.01822160227374,1,129.182435860883,2,-27.053688208613515,0.0282954279751068,205.96800000000005,0.8646745943733579,0.8450517584510517,7.407893301981969,396.41243364496336,2.0,179.99993918470847,4.6462373656677975,5.0,113.8216038280216,0,0,1,3.02
11,0,2.150871645560229,16.517448011277725,2,0,132.56958498799258,3,0,168.115,0.8473809353128332,0,1,0.4259355585954678,12,146.1817450920472,1,132.59532826290342,1,-27.946857841591584,0.0242967882356882,206.21600000000004,0.5188047566240147,0.8820412346293967,7.104608503432769,388.8426415148809,2.0,6.618749844120114e-05,4.704715031455934,5.0,146.72986203383056,0,0,1,2.72
12,1,2.168425821217919,16.97460069818347,2,0,169.81613504538947,2,0,150.125,0.2663900871517844,0,1,0.5770452970519552,12,143.36540578247286,1,129.16466682169258,2,-23.64943647600296,0.0354019375741469,200.78400000000005,11.090286494010757,0.7615593824177301,7.129477019304094,313.0126332046233,2.0,179.70720582668127,4.651521651924137,5.0,113.94577024793278,0,0,1,2.39
13,1,2.1529355089518623,17.754422439018153,2,0,130.86964492771514,2,0,150.125,0.5716602140643124,0,1,0.6978640012697866,12,145.2579462466399,1,130.331001217599,1,-22.589587616601133,0.0356036581594652,200.88000000000005,11.354340934344345,0.7200972195360423,7.488362115887142,317.67049908245974,2.0,6.7918052024127625e-06,4.6669584284572885,5.0,144.83596461814386,0,0,1,2.23
14,1,2.167321772191846,16.82011773012949,2,0,169.79160749833093,1,0,132.134,0.3579609265782811,0,1,0.6360348196849155,12,143.29593505104825,1,129.23563326470713,2,-17.286904910300787,0.0370496197797817,195.48800000000008,25.853681157893934,0.7593300167015813,6.941409257755571,341.5017900775396,2.0,179.99998154589412,4.654518956657728,5.0,113.98158980361644,0,0,0,2.14
15,1,2.1875072680655143,16.866718991875672,2,0,109.33238312364874,1,0,132.134,0.7948984153856945,0,1,0.5579520677080879,12,131.1630705155388,1,105.72149852281362,1,-17.838229845013615,0.0360419988445948,193.78400000000005,26.47516387803562,0.8215237924030663,7.058125793299357,337.2904089208858,2.0,1.3131215713015022e-05,4.09703291461663,5.0,125.74403414914566,0,0,0,1.96
18,0,2.145465652724542,15.673065118628568,2,0,150.33926952181153,2,0,136.098,0.6166138522204985,0,1,0.455781313231095,11,145.47748314380135,1,176.50597784524396,0,-26.73332492796613,0.0310250638753075,184.37600000000003,4.345586434353479,0.9584364398926456,6.239905527862647,279.89147082532264,1.0,179.99998079372608,4.341872407128968,5.0,162.08340164491457,0,0,0,2.26
19,0,1.510829297272054,17.7161041394295,2,0,115.76584540926686,2,0,150.125,0.1098322616914486,0,1,0.5260974572968908,12,111.6790415851758,1,129.10106654503724,0,-21.66562027703755,0.02873200821835,197.41600000000005,0.2467476150590761,0.8750309924347206,7.29351956078817,319.02190014764835,2.0,106.9557608051152,3.0855353815881283,5.5,127.23888378940072,0,1,1,2.25
20,0,2.3913964631592366,15.952977537968284,2,0,108.7745287104272,2,0,150.125,0.3724919646025041,0,1,0.486297521971699,12,116.61326770094976,1,123.53006248921083,0,-24.33289574121703,0.0301512920488097,196.87200000000004,0.0,0.8534866286730589,6.658032029851789,307.99766312898794,2.0,12.155855482703776,3.86287486337179,5.5,147.16615451387398,0,1,1,2.5
21,0,1.51946770156042,18.08647240499828,2,0,117.06887434337962,2,0,164.152,0.0931254728787247,0,1,0.5724553636189635,13,111.46442290312208,1,128.19381468190937,0,-19.725208071202463,0.0287524904182823,213.3760000000001,0.0,0.8144728826958533,7.693980608517341,344.00127364111046,2.0,110.82578410233648,3.100648370816512,6.0,123.04611442715272,0,1,1,2.5
23,0,1.5208258395459489,18.123468578515816,2,0,119.48221770226088,2,0,178.179,0.037531181695505,0,1,0.7082818468874233,14,109.66921259293144,1,133.41999014510694,0,-19.27573251178975,0.0287940693543306,229.6560000000001,0.0,0.8759497765744838,8.059670792681985,363.60746666654194,1.0,122.82534248442886,3.1277562950363085,6.5,120.84171762581884,0,1,1,2.9
24,0,2.600591046928612,16.08749460490176,2,0,99.01870647463228,2,0,178.179,0.6032148258350407,0,1,0.8142578068027774,14,111.56070270996392,1,99.71393638377472,0,-22.043953249044648,0.025550679573839,229.3040000000001,0.0,0.968041201697476,7.21481352112393,350.43195156113467,2.0,2.0613654104193184,3.7001055328061,6.5,123.98255442394064,0,1,1,3.03
25,0,3.3867269497349923,16.758054002843952,2,0,127.27509114253854,2,0,178.179,0.7861734779637657,0,1,0.8058170498994124,14,124.69380934006212,1,155.45131772372213,0,-20.32776540553962,0.0304795288395847,231.31200000000007,0.0,0.9285285996388408,7.54550351062429,354.9328361347001,2.0,119.8927676794286,5.20522788626835,6.5,151.40627319865175,0,1,0,2.95
26,0,,17.58746701126204,1,0,,2,0,138.114,0.6576720390589873,0,1,0.5518692304798849,11,,0,,0,-23.18844843053099,0.0330661529823555,192.09600000000003,0.0,0.7440600402571431,7.240215505252285,325.0485220547848,1.0,,,6.0,,0,0,1,2.26
28,1,,17.045028850976927,1,0,,2,0,138.114,0.6494016365414849,0,1,0.2809318964127172,11,,0,,0,-25.33046957717484,0.0371429251151406,192.61600000000004,13.751576928943855,0.9643430018601568,7.229524511875352,299.3729834286962,1.0,,,6.0,,0,0,1,2.06
29,1,,14.90336380830188,2,0,,0,0,86.09,0.5010547781392878,0,1,0.2890030212148852,10,,1,,0,-14.639989115506346,0.0360232709503461,157.54400000000004,29.4963111975155,0.8343730701758801,5.388031062161855,325.1362064131209,0.0,,,4.5,,0,0,0,1.92
30,1,,15.254802996841155,2,0,,0,0,100.117,0.5135142852675479,0,1,0.4735359524552176,11,,1,,0,-13.36263793066799,0.0347973760625621,173.22400000000005,21.742879230255003,0.9261913075297316,5.791747265071259,346.099749372459,0.0,,,5.0,,0,0,0,2.26
31,1,,15.648258605828287,2,0,,0,0,114.144,0.5089160785859065,0,1,0.5545652979017571,12,,1,,0,-12.492190893804027,0.0328644838610689,187.98400000000004,21.38072012380494,0.8907746986019726,6.256761800025264,365.42440358207233,0.0,,,5.5,,0,0,0,2.68
32,1,,16.193360279674458,2,0,,0,0,142.198,0.5074899526962935,0,1,0.6557697414055297,14,,1,,0,-11.36404611274688,0.0319360979266423,220.5840000000001,22.233491974008288,0.8750946556670395,7.067568529452932,404.6604621972969,0.0,,,6.5,,0,0,0,3.24
33,1,,15.507516134672173,1,0,,0,0,102.133,0.503831001141053,0,1,0.4222064509189733,11,,0,,0,-13.390826124167578,0.0358850181744939,181.62400000000005,36.60288887313836,0.8483570707681505,6.241500218220169,365.617495994388,0.0,,,6.0,,0,0,0,2.29
37,0,2.0061884097053904,18.93493248210011,4,1,157.24953292380826,3,0,196.125,0.2272600032943055,2,2,0.4093226484519686,13,162.84551687547935,3,159.3481118738567,0,-36.048065634441336,0.0291648245806242,222.04000000000005,0.0,0.8953875458676485,8.48559559273305,397.7583747794454,2.0,0.0001615934953358,4.939315136797005,3.0,166.8315810161213,1,0,1,2.05
39,1,,17.660788895005794,4,1,,0,0,128.127,0.5034164569000006,2,2,0.429991073423503,12,,3,,0,-17.54101288704247,0.0345384370167808,189.73600000000005,25.701330855820668,0.9539874245004532,6.96986969942145,337.74416994430226,0.0,,,3.0,,1,0,1,1.54
40,1,,17.434587971801154,2,0,,0,0,122.123,0.4774529597743909,0,1,0.0957121568969253,13,,0,,0,-17.573461682097104,0.0392613652323854,187.08000000000004,40.021194591699526,0.906339698503716,6.991320346777683,360.20503332713645,0.0,,,6.0,,0,0,0,2.49
41,0,1.5604249434492543,16.413188634470696,2,0,116.36132976083772,3,0,168.115,0.1943204690785033,0,1,0.5504715912741219,12,117.41706270318718,1,114.32989970181568,1,-27.918059759942576,0.0253020626893941,204.6320000000001,0.5252229692099908,0.9087938312988504,6.936809677221722,389.2909116341421,2.0,96.49648608292644,3.5519878106628804,5.0,114.79989641365874,0,2,1,2.88
42,1,1.5625519531249028,16.3682497558223,2,0,116.2393990625636,2,0,150.125,0.5780823739990404,0,1,0.7015111872564055,12,117.4929107264839,1,114.80138048129054,2,-25.456676950920663,0.0298700884181259,199.0720000000001,12.134165624982662,0.9152991718957344,6.894385775581792,305.0388138227126,2.0,96.01465272354304,3.5677451306296533,5.0,115.65964398782071,0,2,1,2.22
43,1,1.562816269927623,16.892747290687392,2,0,117.21511549365697,1,0,132.134,0.6693705158815912,0,1,0.7420305735697262,12,118.18552585435737,1,115.10527936997832,2,-17.307661834057953,0.035518685068512,193.75200000000004,18.438455579322984,0.8272483341095788,6.9660822803517775,345.6523305313949,2.0,96.86790321946678,3.585648991217853,5.0,115.44038974382212,0,2,0,2.11
44,0,1.5173385631884408,16.019820974012315,2,0,136.73105589102647,3,0,154.088,0.7043809357351544,0,1,0.5680546505974253,11,118.55881206388317,1,138.77017534070905,2,-30.759039726229904,0.0253169834610731,189.84000000000003,0.6752336813052643,0.9497818254725564,6.616691333748955,369.28647724626313,2.0,136.2907165205502,3.823880381532712,4.5,120.42129833254631,0,2,0,2.98
45,0,1.518993790852006,18.22001004745886,2,0,91.70418871619223,3,0,154.088,0.8724145197805159,0,1,0.7035114236426173,11,119.87586477391947,1,93.26675782876384,1,-27.37084962400012,0.0309561104828719,189.37600000000003,0.168808420326316,0.7727292913399274,7.469942148047182,384.1065108944276,2.0,2.5766943994986597,3.0720258060259837,4.5,122.97913587301072,0,2,0,2.12
46,1,1.516479632261448,16.04633217072569,2,0,136.1871265806597,2,0,136.098,0.369322314154637,0,1,0.4880658383493953,11,118.28467511925764,1,138.22969979631557,2,-27.785042687427016,0.0322293134497915,184.56000000000003,11.670165284897086,0.9634656322840098,6.536934991403146,278.9189045362254,2.0,135.4101781189867,3.8172878958456304,4.5,120.1899155777992,0,2,0,2.28
47,1,1.5183715590512308,17.163233037383733,2,0,90.34512950008,2,0,136.098,0.6113773128366742,0,1,0.6452543117735957,11,119.28777834205157,1,91.53240692044966,1,-23.74487920284904,0.0339447822048716,184.34400000000005,9.233537368270223,0.7947459539206406,6.697250372297734,288.9460669099542,2.0,2.255595833895447,3.029435853017228,4.5,121.55268258690728,0,2,1,2.35
48,1,1.51540921075884,15.84056728030555,2,0,137.9685112715461,1,0,118.107,0.4411720106241711,0,1,0.4001650804841252,11,119.48127281703258,1,137.39439691911687,2,-20.15255879670816,0.0340354742191171,179.32000000000005,36.55762702329783,0.9729162680945568,6.288094222616195,308.3969502140603,2.0,136.46488093070153,3.82301926310219,4.5,118.93574248667686,0,2,0,1.12
52,1,,16.582508027476816,3,0,,0,0,112.128,0.4998974170198433,0,1,0.6067776186063618,12,,2,,0,-12.786148488621304,0.0348700529061498,182.75200000000004,27.41659169161657,0.8520650452575231,6.703745430886514,372.8520086544152,0.0,,,3.6666666666666665,,0,1,0,2.35
53,0,1.5099473756961113,18.701494245385547,3,0,119.00008317627189,2,0,148.109,0.1591461066013208,0,1,0.5346718694001866,12,122.81247335190707,2,131.402359599268,0,-24.35581569458142,0.0322444145073286,193.20000000000005,10.534795077300512,0.8539530374628953,7.856709705195578,314.68114338742765,2.0,74.44167710278985,3.222863386815185,3.6666666666666665,146.21299752600888,0,1,0,2.42
54,0,2.712328935858681,15.726117726157716,3,0,95.87550329740128,2,0,148.109,0.63745004989368,0,1,0.6526390731172582,12,105.35224496570136,2,112.11078681979023,0,-27.43139812166125,0.0273311366120003,192.92000000000004,13.255419491950402,0.9465611821194968,6.549459493366076,288.4028270347454,2.0,3.7812623087138006,3.8007102815183984,3.6666666666666665,136.8743977862929,0,2,1,2.66
56,0,2.975327972036363,16.662271343806477,3,1,77.62632895668733,2,1,133.142,0.3132040433412195,0,1,0.4539378908660415,13,87.15329472154954,2,106.66919557783066,1,-25.485827951012627,0.0309988299765817,206.93600000000004,11.13743883338078,0.9632084672975652,7.300098838035053,313.62426048798767,2.0,2.2958466559623547,3.5676138691265997,4.0,133.27366112811194,0,3,1,2.47
57,0,2.958716687280762,16.480026819852597,2,0,110.72340232552908,2,1,135.158,0.6323578867098922,0,1,0.7039164243231276,13,105.81698539935672,1,179.38295087909856,0,-23.286109662954136,0.0298078767819824,215.17600000000004,33.282577648744294,0.9309963436550176,7.241067850895935,330.4806995679532,2.0,178.70516759609754,4.450970658432986,6.0,156.93161016928016,0,0,0,2.31
58,1,,16.40646590937398,2,0,,0,1,99.177,0.4450662303702944,0,1,0.7087980923047984,13,,1,,0,-12.44197500525422,0.0327797545922664,204.59200000000004,28.143432551072696,0.8756209008771929,6.968083256740164,385.1393969915789,0.0,,,6.0,,0,0,0,2.72
59,1,,15.888592603183106,3,1,,0,1,97.161,0.4389327059275356,0,1,0.4357298637476224,13,,2,,1,-13.736444952042811,0.0328779986726052,197.34400000000005,31.75630372867584,0.9035219889818424,6.62377406835739,376.10618733580975,0.0,,,4.0,,0,3,0,2.3
60,1,,16.310561358512256,3,1,,0,1,97.161,0.4461173384046637,0,1,0.4761805653815703,13,,2,,2,-13.307288510081438,0.0330284826653709,197.75200000000004,31.75630372867584,0.8731821965856591,6.836573297831004,378.7594319482711,0.0,,,4.0,,0,3,0,2.19
61,0,1.5123071448096184,17.5602746376936,4,1,99.585829014565,3,2,151.132,1.024569424278263,2,1,0.4535721270961788,13,129.08995322780908,3,102.04688679061384,0,-22.45984446404343,0.0267156835479666,213.0240000000001,0.0,0.8220228235189757,7.238439337934167,391.543893252076,3.0,2.2001653585281598,2.9218069590858837,3.0,120.83941293564096,1,0,1,1.93
62,0,1.4773335675960304,17.292004109268856,2,0,101.65850063289216,3,2,139.121,0.8800699735886616,1,1,0.5958157463709893,12,124.88360455919818,1,103.48984249432128,0,-24.332703544182607,0.0270644522037444,204.48000000000005,0.3334482103619106,0.7964878737115648,7.031908825573008,378.2526070158896,2.0,50.53267391068521,2.848420175093104,5.5,116.423928279211,0,1,1,2.12
63,1,,13.657808124128,4,1,,0,2,83.134,0.5494406905166231,2,1,0.3949130497943044,12,,3,,0,-13.342916012536785,0.0335368848549053,180.75200000000004,29.63550760049172,0.795170507539896,5.179408933384411,339.740187473928,0.0,,,3.0,,1,0,1,1.47
64,1,,14.231520909635751,2,0,,0,2,71.123,0.5268929569613229,1,1,0.308923345573396,11,,1,,0,-12.77925136916378,0.0355932081831423,171.79200000000003,30.413279848195486,0.7955084432431401,5.295375533562202,332.4453749173496,0.0,,,5.5,,0,0,1,1.19
65,1,,13.594935306919416,4,1,,0,2,97.161,0.5497944625022185,2,1,0.6081317577697422,13,,3,,0,-12.147598276144947,0.0314415460206079,197.3280000000001,24.50837282115097,0.80785347094955,5.341968033977732,357.8810905549529,0.0,,,3.0,,1,0,1,1.75
66,0,1.4926169739350563,17.678976885742237,3,1,98.35306402506409,3,2,165.159,0.9682339874761297,1,1,0.6743244616567325,14,126.78419556607282,2,101.81462243699204,0,-21.182367540582288,0.0258418562123132,227.55200000000005,0.3413612446158254,0.808740412723883,7.5267008819737375,407.2431932955885,3.0,26.2626542586127,2.8684945152953456,4.333333333333333,119.16549501511172,1,2,0,2.2
67,0,1.5116877281273733,18.162684702598305,4,1,93.00121821964768,3,2,179.186,1.0074420564747153,2,1,0.6982848804449912,15,124.11203703336466,3,99.9243339814062,0,-19.810077188924865,0.0266438135508182,242.9600000000001,0.0,0.8467508598637525,8.010706413829869,424.0654959477743,3.0,4.326720196979196,2.804863810864474,3.5,118.71498208080553,1,0,0,2.51
68,0,1.4873796415692262,17.75720910257114,2,0,124.5001452534137,3,2,153.148,0.7438794672233934,1,1,0.4859700924800365,13,122.59651693137396,1,117.96718400882916,0,-22.994162237533736,0.0267939432921555,220.3760000000001,0.0,0.8365981817548114,7.562637082279614,406.7596581842382,2.0,104.567925534941,3.066266818906855,6.0,114.65860559603009,0,1,1,2.54
69,1,,14.1169896745154,3,1,,0,2,97.161,0.5358218940664996,1,1,0.5852226871365523,13,,2,,0,-12.342096921336903,0.0325345689150462,194.89600000000004,26.90623306915004,0.851490583760273,5.607268204311589,360.2662181793649,0.0,,,4.333333333333333,,1,2,0,1.65
70,1,,13.97335757309198,4,1,,0,2,125.215,0.4975929314903202,2,1,0.8640858568918462,15,,3,,0,-10.85759307839296,0.0293257973910252,227.44000000000003,15.199650935964977,0.8835619749728306,5.857389479392134,387.3873810681476,0.0,,,3.5,,1,0,0,2.66
71,1,,14.644627760452677,4,1,,0,2,111.188,0.5245971629233473,2,1,0.6553920715031943,14,,3,,0,-11.113570533999026,0.0315648481137976,210.64800000000005,20.134594096559933,0.8699817355643439,6.033994158538865,380.6161427050653,0.0,,,3.5,,1,0,0,2.01
72,1,,13.829488774449556,2,0,,0,2,85.15,0.4966728419700285,1,1,0.5465622132527357,12,,1,,0,-12.51279808167565,0.032445438722891,188.11200000000005,19.44827660861744,0.7606330300458689,5.298127115369844,349.0517894364413,0.0,,,6.0,,0,0,0,1.39
73,0,1.4929378883213518,17.93729585621476,3,1,99.3234254360596,3,2,179.186,0.9381924326071376,1,1,0.9727695798523828,15,125.58735134588292,2,101.8724494392184,0,-20.32992231012825,0.0245469809428201,243.52000000000007,0.3536079660415623,0.8555581244671074,7.945443432173064,424.6186952616653,2.0,40.13558221335193,2.8522702581062807,4.666666666666667,116.96171950314005,1,2,1,2.67
74,1,,14.819705204507573,3,1,,0,2,111.188,0.5334324601415322,1,1,0.7349818347069654,14,,2,,0,-10.970003158863191,0.0323422956249519,211.0720000000001,25.524372180943537,0.8526502580979894,6.13144028138302,380.0003118822348,0.0,,,4.666666666666667,,1,2,0,1.88
75,1,,14.632691996420515,3,1,,0,2,125.215,0.5246214272397556,1,1,0.7363705437310873,15,,2,,0,-10.42119687706359,0.0308733142053138,227.8400000000001,22.600104845891828,0.872472740908165,6.257965624430451,403.67130298925474,0.0,,,4.666666666666667,,1,2,1,2.41
76,0,3.0660943171333592,15.359899723989589,3,1,93.816180013354,2,2,161.196,0.8038899654595544,1,1,0.6131019733894907,15,106.60495046185896,2,99.40763226745982,0,-20.67334055185208,0.0298342372043276,236.9360000000001,37.67946830677173,0.7327442097091776,6.844521506749366,339.9226112539146,4.0,0.882430185037632,3.592782922764444,5.0,111.94548019767456,1,2,1,1.59
77,0,3.058910637888023,16.06782901027181,3,1,92.87643476064903,4,2,197.177,0.4546696401780716,1,1,0.587904906281487,15,105.712593770623,2,98.89788604230266,0,-34.004314397599195,0.0264952877139195,246.9840000000001,0.0,0.7170689058130638,7.260583347573593,301.5981553144782,6.0,0.8120884828273304,3.568084111249757,5.0,111.55802232927324,1,2,0,1.84
78,0,2.8653603039986644,16.202946843115654,3,1,171.30957908985232,2,2,161.196,0.5577589233684686,1,1,0.6301348836122136,15,164.57035741805132,2,152.19392272560677,0,-20.30109763271612,0.0286413638422547,236.83200000000005,0.0,0.7143353296438797,7.11110215307727,350.1784363417569,2.0,179.98334100742173,4.353861245442968,5.0,148.93824805168435,1,2,1,2.18
80,0,2.856370971164574,17.437767203971532,3,1,172.01240197855358,2,2,163.168,0.4383507020777777,2,2,0.7201418135283945,14,165.1762805424726,2,151.75551762080244,0,-30.939016412589183,0.0339119959899692,229.03200000000007,0.0,0.8324950056446185,7.543171337980949,316.4632228821225,2.0,178.3696242330763,4.344624949509841,5.0,148.62786704819152,1,2,1,1.19
81,1,,15.70881207914239,3,1,,0,2,127.187,0.7063528645938332,2,2,0.6153683710451527,14,,2,,0,-18.051759426652666,0.0389661361658817,219.25600000000009,36.93156248915376,0.8509540050015717,6.649313671978401,370.0994277672031,0.0,,,5.0,,1,2,0,0.84
84,0,2.8907482646407154,15.41047696944332,3,1,177.83666081647013,2,2,147.169,0.586483744063026,1,1,0.5650621202857007,14,170.81000965832908,2,148.6372368621506,0,-23.12951560957213,0.0294363255869448,220.7280000000001,0.0,0.8972181385923496,6.589562574504167,327.4835513465426,2.0,178.9107216735429,4.3572939334667,4.666666666666667,146.70539603253215,1,2,1,2.09
85,1,,14.74031383301627,3,1,,0,2,111.188,0.5042759496765574,1,1,0.5892973255504724,14,,2,,0,-11.44428367131392,0.0328184332064044,210.8640000000001,27.76421221307772,0.8504782224897488,6.105338521235588,378.801319850319,0.0,,,4.666666666666667,,1,2,1,2.31
87,1,,13.97636145034818,2,0,,0,2,57.096,0.5396180255699825,1,1,0.2465359320824603,10,,1,,0,-14.01370352259164,0.0372278138699765,156.68800000000005,31.87904479592171,0.765231646292775,4.94563307182541,308.84997377441255,0.0,,,5.0,,0,0,1,1.13
88,1,2.0661764718225237,15.765229002108295,2,0,178.6477600798977,1,2,75.086,0.509415241176304,1,1,0.3362317186827188,10,165.91472353900394,1,145.22219628787627,0,-21.665803237330906,0.0392792160510147,162.16800000000003,35.88266911290913,0.8172022105698203,5.720404587517395,276.685817213554,1.0,179.65566268735296,4.241044205627544,5.0,140.6008925925563,0,0,1,0.94
90,1,,14.231520909635751,2,0,,0,2,71.123,0.5268929569613229,1,1,0.308923345573396,11,,1,,0,-12.77925136916378,0.0355932081831423,171.79200000000003,30.413279848195486,0.7955084432431401,5.295375533562202,332.4453749173496,0.0,,,5.5,,0,0,0,1.19
91,1,2.3587698309195217,15.28330245522357,2,0,146.392681701349,1,2,89.113,0.5809932034757082,1,1,0.3502296320098838,11,162.14535093347348,1,102.84456485648388,0,-18.82828522742503,0.0369787191887518,177.18400000000003,35.16436860357683,0.7953906942785594,5.773436665139516,301.25825858817785,2.0,81.37199633716857,3.704337464882229,5.5,103.57794092827886,0,1,1,0.91
