,mol_num_cycles,nFaHRing,naHRing,angle_R2X2R1,distance_between_atoms_in_f_group_centers,tpsa+f,cis/trans,GeomShapeIndex,angle_R1X1R2,FPSA3,nFHRing,nAHRing,chirality,naRing,identificator,nFARing,nHRing,nFAHRing,nF,TASA,nO,PNSA5,angle_X1X2R2,dihedral_angle,nN,f_to_fg,nFRing,nARing,PPSA5,dipole_moment,mol_volume,PBF,f_atom_fraction,nC,RPCS,nFaRing,avg_atoms_in_cycle,angle_X2X1R1,f_freedom,fold_id,pKa
0,1,0,0,176.20738886616874,1.6418532188585655,69.35046385130875,0,0.9480105509355536,116.84824755409942,0.0430794092975522,0,0,0,0,0,0,0,0,2,150.0873028897533,2,-28.942682930343423,154.50490918336376,177.37714121077377,0,2.0,0,1,14.226839517068862,0.3645162106418635,139.38,0.599067910401728,0.2857142857142857,7,20.92354236027572,0,6.0,111.45370089207896,0,0,4.32
1,1,0,0,0.0,0.0,37.3,0,0.8478666217071501,0.0,0.0464530009514433,0,0,0,0,0,0,0,0,0,201.0448698508611,2,-13.67650885498967,0.0,0.0,0,0.0,0,1,13.888097806258338,0.2534125643889748,128.86,0.5807023453619089,0.0,7,16.72072983778262,0,6.0,0.0,1,1,4.85
2,2,0,0,0.0,0.0,37.3,2,0.7124144704595539,0.0,0.0470225025317011,0,0,3,0,0,1,0,0,0,196.99423106010576,2,-13.789063102038476,0.0,0.0,0,0.0,1,2,14.422664217950029,0.2442372954813684,122.04,0.8125037251509408,0.0,7,15.19776352121602,0,3.0,0.0,1,0,4.35
3,2,0,0,0.0,0.0,37.3,1,0.8294732222987803,0.0,0.0476128489000869,0,0,3,0,0,1,0,0,0,195.3931004192692,2,-14.420449795431498,0.0,0.0,0,0.0,1,2,14.472009242508014,0.2461165758213561,122.34,0.6311312957986083,0.0,7,17.778515817271572,0,3.0,0.0,1,0,4.24
4,2,0,0,131.7100546313876,1.858447673201752,71.31501602232542,1,0.8004850388878918,123.731738974727,0.0451859207676332,0,0,3,0,0,1,0,0,2,137.36441803106385,2,-29.793930518103025,146.9910021500618,1.2099538459599175,0,2.0,1,2,14.92007473347024,0.5967806967162913,132.52,0.7964923245058986,0.2857142857142857,7,20.595645569371552,0,3.0,130.16656374121976,0,0,3.8
5,2,0,0,135.09594164283646,2.120074933236484,71.54379598500583,2,0.8798207937895168,179.68239851077465,0.0450266280175609,0,0,3,0,0,1,0,0,2,132.84022962466886,2,-30.891759065232336,131.7711972123317,178.17350777968704,0,2.0,1,2,14.721238775781188,0.443854491125851,132.44,0.6888651599721769,0.2857142857142857,7,21.43438226676678,0,3.0,170.17754544345078,0,1,3.76
6,1,0,0,0.0,0.0,37.3,0,0.6663346346635648,0.0,0.051031935789697,0,0,0,0,0,0,0,0,0,161.86023699331497,2,-17.451691745402464,0.0,0.0,0,0.0,0,1,13.637049631458243,0.2749376521952997,97.78,0.7016151882984124,0.0,5,15.75301298750428,0,4.0,0.0,1,0,4.5
7,1,0,0,0.0,0.0,52.53176724715814,0,0.7681413255079723,0.0,0.0464656204985072,0,0,0,0,0,0,0,0,1,160.0972577919836,2,-23.565672771545703,0.0,0.0,0,1.0,0,1,14.533090158481006,0.1472615628006759,119.68,0.7914635855727886,0.1666666666666666,6,9.852651933957173,0,4.0,0.0,1,0,3.66
8,1,0,0,0.0,0.0,71.39419765658332,0,0.6778624096432074,0.0,0.0433798439352485,0,0,0,0,0,0,0,0,2,139.05925564526103,2,-27.809313509685875,0.0,0.0,0,1.0,0,1,16.052588504511426,0.415680682637275,124.94,0.8125898153874634,0.3333333333333333,6,7.774418116543112,0,4.0,0.0,1,0,3.08
9,1,0,0,0.0,0.0,87.18599145218073,0,0.767759046938773,0.0,0.03581643481686,0,0,0,0,0,0,0,0,3,212.04828115840883,2,-30.412560021121227,0.0,0.0,0,1.0,0,1,15.967207934441143,0.477586507613744,130.12,0.7973793418068543,0.5,6,0.7873815420224571,0,4.0,0.0,0,1,2.9
10,1,0,0,171.50375913827546,5.055790872560269,86.83899789270555,2,0.6229457006751816,128.12171658843644,0.0385267254074045,0,0,0,0,0,0,0,0,3,213.6383729604581,2,-35.97156180758108,144.37707029135925,179.99999765130556,0,2.0,0,1,14.005185797441891,0.2545750695556818,130.94,0.6540065210074811,0.5,6,0.4716831759309227,0,4.0,113.59315284211615,0,0,3.83
11,1,0,0,132.68948883532207,1.498352188301075,86.94731827513812,1,0.8575613232397992,133.02515276809766,0.0401965472906642,0,0,0,0,0,0,0,0,3,212.6672017056574,2,-35.65114514201758,146.5613396994849,1.2812404568082367e-05,0,2.0,0,1,14.741419717272937,0.395677214355561,130.94,0.658894080991424,0.5,6,0.1572277253103075,0,4.0,146.7111289987638,0,0,3.88
12,1,0,0,171.79855050316874,1.606435986917827,69.89459512901678,2,0.6982012865406237,127.98577885945376,0.048722222343033,0,0,0,0,0,0,0,0,2,124.20217726081256,2,-32.42283291856772,144.64454709626642,179.5953211284142,0,2.0,0,1,14.455130491128031,0.3499816092854382,124.89,0.6969982506556,0.3333333333333333,6,22.354959514561923,0,4.0,113.53313176025196,1,0,4.11
13,1,0,0,130.99100461670517,1.3128742658120576,69.30100841493486,1,0.7472505352559793,131.74773196754546,0.0468370215273792,0,0,0,0,0,0,0,0,2,119.61213340278243,2,-33.836905028895885,145.13712832823185,2.282285201717909e-05,0,2.0,0,1,14.444846405010235,0.229961738507808,125.1,0.6085284906583982,0.3333333333333333,6,24.2335275409957,0,4.0,146.02379795750852,1,0,3.92
14,1,0,0,129.86954427613617,1.9698414253271987,53.9634923411824,2,0.7369852285984115,169.3263951428838,0.0500896185403708,0,0,0,0,0,0,0,0,1,151.95387106950585,2,-23.14241982800826,114.57818740539314,179.99999928388038,0,2.0,0,1,14.7434613912726,0.5545477396392865,120.02,0.7566788021710624,0.1666666666666666,6,18.81293691908742,0,4.0,143.06299190253122,1,1,4.18
15,1,0,0,131.2416513783521,1.3724615056509162,53.94977708507511,1,0.7497014588675519,131.99394538270406,0.0501258735177767,0,0,0,0,0,0,0,0,1,150.96746505690336,2,-23.550265972435845,145.3092287749146,0.0305964349429392,0,2.0,0,1,14.836270197587274,0.3334923044688394,120.08,0.7100627643370322,0.1666666666666666,6,19.88092023763824,0,4.0,146.2247768710286,1,0,4.12
16,1,0,0,131.78974164848114,1.7354707723481757,71.96849934335359,0,0.5974848859274101,113.93728475341402,0.0518944682075491,0,0,0,0,0,0,0,0,2,74.18413824352477,2,-43.36695442587725,151.7991179181965,68.01485011903459,0,2.0,0,1,15.647511650698288,0.5404336559791457,94.8,0.6237485624296953,0.5,4,27.43817898381783,0,3.0,118.02012398950647,0,1,3.25
17,1,0,0,125.35662779502591,1.5573398804805345,71.19625827040826,0,0.6783905539619974,113.54892979177116,0.0451671028694868,0,0,0,0,0,0,0,0,2,108.9384863248536,2,-33.89223604263279,136.4809158269887,84.33402019116885,0,2.0,0,1,14.973170172284703,0.5701149905469478,108.14,0.7071626712579546,0.4,5,19.173011894719075,0,4.0,115.8620544863835,0,1,3.62
19,1,0,0,125.88986895653304,1.2719356012917198,69.52368806229495,0,0.7432703191313329,111.91894281660896,0.0425811859490791,0,0,0,0,0,0,0,0,2,135.55657649332557,2,-29.050345611389066,127.78689240827444,100.75889440468464,0,2.0,0,1,15.180190460346552,0.5254754383956883,123.51,0.7594846882172082,0.3333333333333333,6,18.911509222439424,0,5.0,109.6215647199389,0,1,3.76
20,1,0,0,119.5134162345996,1.8275760561371728,69.95463158875981,0,0.9212469923616556,95.72251248305469,0.0439471474020902,0,0,0,0,0,0,0,0,2,120.1292670855177,2,-35.99139820379941,146.34864055347808,25.67702780889899,0,2.0,0,1,13.206248345831114,0.6352930549698548,123.45,0.6110579242547812,0.3333333333333333,6,23.959083180570563,0,5.0,103.20760918952917,0,0,3.98
21,1,0,0,126.63825110188506,2.451301464360601,69.87951681258363,0,0.8567741221390269,115.41382670766646,0.0433647072309179,0,0,0,0,0,0,0,0,2,158.31308881860684,2,-24.95173561988011,122.51554783322288,108.80350870606324,0,2.0,0,1,15.919944567693657,0.4731799079072844,138.74,0.6207785552918198,0.2857142857142857,7,23.50671740750368,0,6.0,110.36781532150366,0,1,3.81
23,1,0,0,129.0459475303177,2.8766409149260035,63.886545088313134,0,0.7102688409030519,119.2168678217085,0.0384648840094387,0,0,0,0,0,0,0,0,2,182.06296389139644,2,-23.252160016889395,120.41303014656776,115.85471137445384,0,1.0,0,1,15.628378678838564,0.43442605858601,154.06,0.8478883846511579,0.25,8,6.146965759162364,0,7.0,111.73009521109194,0,0,3.78
24,1,0,0,104.8266138849039,2.272670170443212,68.2342847014452,0,0.6880421818560744,82.63435142033606,0.0384807558153738,0,0,0,0,0,0,0,0,2,171.19160296594947,2,-27.076422683959528,128.700029863474,42.97102962365911,0,2.0,0,1,14.196844698819575,0.6947270687489867,154.3,0.7361649905506692,0.25,8,7.145423127159609,0,7.0,91.17000173990564,0,1,4.09
25,1,0,0,154.8429681934968,2.311998942357128,69.0653140858843,0,0.8082580039745423,128.76866079858837,0.0412257699900023,0,0,0,0,0,0,0,0,2,166.19199670415207,2,-26.21332591759056,150.7004402494903,119.71178756115462,0,2.0,0,1,14.11738357175663,0.3582333801949763,155.18,0.7218975429043217,0.25,8,19.181318821573765,0,7.0,126.14585888077616,0,1,4.36
27,0,0,0,0.0,0.0,68.60483479562983,0,0.7759302367317907,0.0,0.0447351098721081,0,0,0,0,0,0,0,0,2,144.9914085338705,2,-29.896563070368387,0.0,0.0,0,1.0,0,0,15.22109798307842,0.6607192214798676,117.0,0.7048692041461937,0.4,5,18.356992887543772,0,0.0,0.0,0,1,4.17
28,0,0,0,0.0,0.0,69.16207539812513,0,0.763238636493066,0.0,0.0498035285406461,0,0,0,0,0,0,0,0,2,116.84018181908333,2,-36.14166525567124,0.0,0.0,0,1.0,0,0,14.44642691416415,0.3441142006885662,118.3,0.7151239957379678,0.4,5,18.598915051518738,0,0.0,0.0,1,1,4.38
29,1,0,0,0.0,0.0,37.3,0,0.4927333474593312,0.0,0.0551375633028044,0,0,0,0,0,0,0,0,0,136.27798744485057,2,-21.17891174986713,0.0,0.0,0,0.0,0,1,13.857664796449882,0.2473974129983841,83.72,0.6332140660674527,0.0,4,19.85637346226349,0,3.0,0.0,1,1,4.6
30,1,0,0,0.0,0.0,37.3,0,0.8249752268420897,0.0,0.0507026175687657,0,0,0,0,0,0,0,0,0,160.68845734846897,2,-17.30269723704041,0.0,0.0,0,0.0,0,1,14.147349429531223,0.2749376657092865,98.32,0.5399706270189355,0.0,5,16.554013647885853,0,4.0,0.0,1,1,4.5
31,1,0,0,0.0,0.0,37.3,0,0.8819441023858844,0.0,0.0486064839811568,0,0,0,0,0,0,0,0,0,183.29248689417105,2,-14.637306275249518,0.0,0.0,0,0.0,0,1,14.31841187450095,0.2496692677092228,113.35,0.5701201812784207,0.0,6,17.14943234202641,0,5.0,0.0,1,1,4.69
32,1,0,0,0.0,0.0,37.3,0,0.64857051340506,0.0,0.0425417609912928,0,0,0,0,0,0,0,0,0,224.69526115628696,2,-12.596998132233406,0.0,0.0,0,0.0,0,1,14.213200498366394,0.2484565574620438,145.6,0.7896975508791731,0.0,8,7.118665215720119,0,7.0,0.0,1,1,5.08
33,0,0,0,0.0,0.0,37.3,0,0.6536152540778717,0.0,0.0465283017808811,0,0,0,0,0,0,0,0,0,182.4656187244622,2,-16.71489383167601,0.0,0.0,0,0.0,0,0,14.05323334628104,0.2445878379821489,107.31,0.5677041561624285,0.0,5,13.165660930494102,0,0.0,0.0,1,0,4.75
34,2,0,0,0.0,0.0,37.3,0,0.8634112364344613,0.0,0.0443449585538468,0,0,0,0,0,0,0,0,0,219.20696270393117,2,-13.609751264631171,0.0,0.0,0,0.0,0,2,14.484587122541914,0.2750855524826595,138.19,0.776863464692186,0.0,8,16.740703792660163,0,3.5,0.0,1,0,4.59
38,3,0,0,159.0572456958172,1.274845141183338,79.9756459944716,0,0.7980926853922345,157.0060442232913,0.0501580183630483,1,2,0,0,0,1,2,1,2,127.45886331662538,3,-48.547015157743054,166.58730343830567,2.04682444589272,0,2.0,1,3,16.195704443667108,0.4736367208420352,140.12,0.6427351311944098,0.2857142857142857,7,26.47462509630732,0,2.0,162.7111158109667,1,1,2.93
39,3,0,0,0.0,0.0,46.53,0,0.8863418186260281,0.0,0.0542869664364681,1,2,0,0,0,1,2,1,0,162.06424385898123,3,-21.334637960161764,0.0,0.0,0,0.0,1,3,16.990519695938254,0.6192674807833284,113.06,0.640948957369094,0.0,6,20.305376482980613,0,2.0,0.0,1,1,3.59
40,1,0,0,0.0,0.0,37.3,0,0.843417286690292,0.0,0.0620351549895803,0,0,0,1,0,0,0,0,0,178.88068785876368,2,-20.9138963781408,0.0,0.0,0,0.0,0,0,17.390413934456365,0.2164026832854288,111.75,0.0626552102838983,0.0,7,30.58323903529288,0,6.0,0.0,1,1,4.2
41,1,0,0,113.68295849563492,1.8294015180011367,86.91637129051837,1,0.7161804826385444,114.61162254705285,0.0373397997635106,0,0,2,0,0,0,0,0,3,213.56126529738904,2,-36.49464740238179,115.1540891842632,94.82837050340738,0,2.0,0,1,14.118998572204276,0.509112814143058,130.38,0.7551826882287898,0.5,6,0.4786735772335248,0,4.0,116.29643544428944,0,0,3.87
42,1,0,0,113.84010338763323,1.865280613741343,71.16123954896986,2,0.6277195288562936,115.2049045332914,0.0463783346559465,0,0,2,0,0,0,0,0,2,127.19072174647393,2,-32.67630514229666,115.70803850552306,94.0167133881618,0,2.0,0,1,14.882806885916718,0.2977196857338366,125.39,0.5998691917241106,0.3333333333333333,6,22.669462471414807,0,4.0,117.47870523540672,1,1,4.26
43,1,0,0,114.57540545495137,1.5225163003964135,54.12139817635386,2,0.8506942937777201,114.85317987945176,0.0507579493415174,0,0,2,0,0,0,0,0,1,159.3274200992412,2,-26.129187616698697,116.29989997058448,94.65940854020408,0,2.0,0,1,14.04113254314738,0.3727361854619337,119.46,0.6458141075345936,0.1666666666666666,6,16.491148092704556,0,4.0,116.59190169820316,1,0,4.38
44,1,0,0,138.7094047964349,1.5658064489226158,86.85467427954009,2,0.8933830274788859,137.71375787232083,0.0418977510245668,0,0,2,0,0,0,0,0,3,191.30629717730744,2,-42.3649083199637,120.2953108576504,136.89655923811148,0,2.0,0,1,13.654480049169187,0.3422511935477072,116.06,0.6724971165784714,0.6,5,0.9198095431110276,0,3.0,119.35058559117518,0,0,3.88
45,1,0,0,93.9977488043321,1.9374347861812664,87.92832339046717,1,0.7936358600215251,93.15765997735328,0.0430302321860851,0,0,2,0,0,0,0,0,3,197.34768063677944,2,-38.60939231003256,122.80469117821129,1.0548911061763628,0,2.0,0,1,15.587311404034226,0.610344757860815,116.12,0.6848130271678016,0.6,5,0.0,0,3.0,121.42755939744715,0,0,3.76
46,1,0,0,139.00021620255487,1.7566844163238675,70.84517285325882,2,0.8768385890322357,138.3991370834315,0.0491435615515878,0,0,2,0,0,0,0,0,2,97.51218444357885,2,-41.116119352302334,120.21531641079474,137.8334084369343,0,2.0,0,1,14.0155158725808,0.5204151179734238,111.42,0.6344759749408971,0.4,5,29.6529540983078,0,3.0,119.61589938095102,1,0,4.18
47,1,0,0,92.78868137814882,2.020681750205496,70.75356650173825,1,0.5080799050260356,92.2739458183724,0.0469174897461607,0,0,2,0,0,0,0,0,2,101.31351155442248,2,-39.122115736370645,121.82365634361244,0.8882775851017509,0,2.0,0,1,14.297587746066045,0.4982124888499766,110.85,0.7492587809847537,0.4,5,23.813603137410265,0,3.0,121.07029092954738,1,0,4.17
48,1,0,0,139.85730363513642,1.3859805176017377,54.03459955497518,2,0.928441507217276,139.3711936429449,0.0561694339204862,0,0,2,0,0,0,0,0,1,135.25500326426263,2,-31.451266215924704,120.50123834492138,139.4340385868657,0,2.0,0,1,14.17988858829044,0.3830469638272505,105.88,0.6742527446752573,0.2,5,24.31529800073715,0,3.0,119.99615746978326,1,1,4.35
49,1,0,0,0.0,0.0,37.3,2,0.7667598716682484,0.0,0.0511926023790572,0,0,2,0,0,0,0,0,0,165.8688649715117,2,-18.048125936982665,0.0,0.0,0,0.0,0,1,14.252234031858093,0.2495747233487782,100.02,0.6285974469734138,0.0,5,20.78924813265662,0,3.0,0.0,1,1,4.79
50,1,0,0,0.0,0.0,37.3,1,0.4344441799756103,0.0,0.0498088347008651,0,0,2,0,0,0,0,0,0,167.478328944974,2,-17.406283803217896,0.0,0.0,0,0.0,0,1,13.819958855955097,0.2423006696766244,99.56,0.7229887604143188,0.0,5,15.807798899591932,0,3.0,0.0,1,1,4.83
54,2,0,0,112.16106470266148,3.848881189950276,72.88768416713668,0,0.6412310445619058,90.6369958878736,0.044296488990807,0,0,0,0,0,0,0,0,2,115.89050146707916,2,-38.65732998554312,138.14534621770127,8.070523533794681,0,2.0,0,2,14.484191739185649,0.725710490034997,120.04,0.7943767012216993,0.3333333333333333,6,23.37407340477044,0,2.5,99.81931863729838,0,1,3.85
55,2,0,0,134.08033581910033,5.3553461943755885,59.79356231948664,2,0.6535688493179275,177.91639466458147,0.0352446953309879,0,0,3,0,1,1,0,0,2,185.6363657511909,0,-16.940435357676453,131.45526913885928,179.99975927383207,1,2.0,1,2,10.906524800547963,0.4408458197457243,116.31,0.7362867970474188,0.3333333333333333,6,7.412865128243334,0,3.0,172.1005624640552,0,1,8.89
56,2,0,0,133.26464198385804,5.495946305259386,60.02130074772376,1,0.7018347438206075,126.27798523772334,0.0352788221553065,0,0,3,0,1,1,0,0,2,184.94275715718703,0,-17.38097898800428,147.48099976730327,1.1091799850454742,1,2.0,1,2,10.747959976655064,0.5216363474133995,116.12,0.7533120850449968,0.3333333333333333,6,8.598923548762269,0,3.0,132.6236933422317,0,0,8.95
