,avg_atoms_in_cycle,chirality,PPSA5,tpsa+f,RPCS,mol_num_cycles,GeomShapeIndex,angle_R2X2R1,distance_between_atoms_in_f_group_centers,nC,nFARing,angle_R1X1R2,f_freedom,nFAHRing,cis/trans,dipole_moment,f_to_fg,identificator,nFRing,naRing,nFHRing,PBF,nARing,nF,dihedral_angle,nAHRing,nO,TASA,angle_X2X1R1,mol_volume,FPSA3,PNSA5,angle_X1X2R2,nHRing,fold_id,pKa
0,6.0,0,14.226839517068862,69.35046385130875,20.92354236027572,1,0.9480105509355536,176.20738886616874,1.6418532188585655,7,0,116.84824755409942,0,0,0,0.3645162106418635,2.0,0,0,0,0,0.599067910401728,1,2,177.37714121077377,0,2,150.0873028897533,111.45370089207896,139.38,0.0430794092975522,-28.942682930343423,154.50490918336376,0,0,4.32
1,6.0,0,13.888097806258338,37.3,16.72072983778262,1,0.8478666217071501,0.0,0.0,7,0,0.0,1,0,0,0.2534125643889748,0.0,0,0,0,0,0.5807023453619089,1,0,0.0,0,2,201.0448698508611,0.0,128.86,0.0464530009514433,-13.67650885498967,0.0,0,1,4.85
2,3.0,3,14.422664217950029,37.3,15.19776352121602,2,0.7124144704595539,0.0,0.0,7,1,0.0,1,0,2,0.2442372954813684,0.0,0,1,0,0,0.8125037251509408,2,0,0.0,0,2,196.99423106010576,0.0,122.04,0.0470225025317011,-13.789063102038476,0.0,0,0,4.35
3,3.0,3,14.472009242508014,37.3,17.778515817271572,2,0.8294732222987803,0.0,0.0,7,1,0.0,1,0,1,0.2461165758213561,0.0,0,1,0,0,0.6311312957986083,2,0,0.0,0,2,195.3931004192692,0.0,122.34,0.0476128489000869,-14.420449795431498,0.0,0,0,4.24
4,3.0,3,14.92007473347024,71.31501602232542,20.595645569371552,2,0.8004850388878918,131.7100546313876,1.858447673201752,7,1,123.731738974727,0,0,1,0.5967806967162913,2.0,0,1,0,0,0.7964923245058986,2,2,1.2099538459599175,0,2,137.36441803106385,130.16656374121976,132.52,0.0451859207676332,-29.793930518103025,146.9910021500618,0,0,3.8
5,3.0,3,14.721238775781188,71.54379598500583,21.43438226676678,2,0.8798207937895168,135.09594164283646,2.120074933236484,7,1,179.68239851077465,0,0,2,0.443854491125851,2.0,0,1,0,0,0.6888651599721769,2,2,178.17350777968704,0,2,132.84022962466886,170.17754544345078,132.44,0.0450266280175609,-30.891759065232336,131.7711972123317,0,1,3.76
6,4.0,0,13.637049631458243,37.3,15.75301298750428,1,0.6663346346635648,0.0,0.0,5,0,0.0,1,0,0,0.2749376521952997,0.0,0,0,0,0,0.7016151882984124,1,0,0.0,0,2,161.86023699331497,0.0,97.78,0.051031935789697,-17.451691745402464,0.0,0,0,4.5
7,4.0,0,14.533090158481006,52.53176724715814,9.852651933957173,1,0.7681413255079723,0.0,0.0,6,0,0.0,1,0,0,0.1472615628006759,1.0,0,0,0,0,0.7914635855727886,1,1,0.0,0,2,160.0972577919836,0.0,119.68,0.0464656204985072,-23.565672771545703,0.0,0,0,3.66
8,4.0,0,16.052588504511426,71.39419765658332,7.774418116543112,1,0.6778624096432074,0.0,0.0,6,0,0.0,1,0,0,0.415680682637275,1.0,0,0,0,0,0.8125898153874634,1,2,0.0,0,2,139.05925564526103,0.0,124.94,0.0433798439352485,-27.809313509685875,0.0,0,0,3.08
9,4.0,0,15.967207934441143,87.18599145218073,0.7873815420224571,1,0.767759046938773,0.0,0.0,6,0,0.0,0,0,0,0.477586507613744,1.0,0,0,0,0,0.7973793418068543,1,3,0.0,0,2,212.04828115840883,0.0,130.12,0.03581643481686,-30.412560021121227,0.0,0,1,2.9
10,4.0,0,14.005185797441891,86.83899789270555,0.4716831759309227,1,0.6229457006751816,171.50375913827546,5.055790872560269,6,0,128.12171658843644,0,0,2,0.2545750695556818,2.0,0,0,0,0,0.6540065210074811,1,3,179.99999765130556,0,2,213.6383729604581,113.59315284211615,130.94,0.0385267254074045,-35.97156180758108,144.37707029135925,0,0,3.83
11,4.0,0,14.741419717272937,86.94731827513812,0.1572277253103075,1,0.8575613232397992,132.68948883532207,1.498352188301075,6,0,133.02515276809766,0,0,1,0.395677214355561,2.0,0,0,0,0,0.658894080991424,1,3,1.2812404568082367e-05,0,2,212.6672017056574,146.7111289987638,130.94,0.0401965472906642,-35.65114514201758,146.5613396994849,0,0,3.88
12,4.0,0,14.455130491128031,69.89459512901678,22.354959514561923,1,0.6982012865406237,171.79855050316874,1.606435986917827,6,0,127.98577885945376,1,0,2,0.3499816092854382,2.0,0,0,0,0,0.6969982506556,1,2,179.5953211284142,0,2,124.20217726081256,113.53313176025196,124.89,0.048722222343033,-32.42283291856772,144.64454709626642,0,0,4.11
13,4.0,0,14.444846405010235,69.30100841493486,24.2335275409957,1,0.7472505352559793,130.99100461670517,1.3128742658120576,6,0,131.74773196754546,1,0,1,0.229961738507808,2.0,0,0,0,0,0.6085284906583982,1,2,2.282285201717909e-05,0,2,119.61213340278243,146.02379795750852,125.1,0.0468370215273792,-33.836905028895885,145.13712832823185,0,0,3.92
14,4.0,0,14.7434613912726,53.9634923411824,18.81293691908742,1,0.7369852285984115,129.86954427613617,1.9698414253271987,6,0,169.3263951428838,1,0,2,0.5545477396392865,2.0,0,0,0,0,0.7566788021710624,1,1,179.99999928388038,0,2,151.95387106950585,143.06299190253122,120.02,0.0500896185403708,-23.14241982800826,114.57818740539314,0,1,4.18
15,4.0,0,14.836270197587274,53.94977708507511,19.88092023763824,1,0.7497014588675519,131.2416513783521,1.3724615056509162,6,0,131.99394538270406,1,0,1,0.3334923044688394,2.0,0,0,0,0,0.7100627643370322,1,1,0.0305964349429392,0,2,150.96746505690336,146.2247768710286,120.08,0.0501258735177767,-23.550265972435845,145.3092287749146,0,0,4.12
16,3.0,0,15.647511650698288,71.96849934335359,27.43817898381783,1,0.5974848859274101,131.78974164848114,1.7354707723481757,4,0,113.93728475341402,0,0,0,0.5404336559791457,2.0,0,0,0,0,0.6237485624296953,1,2,68.01485011903459,0,2,74.18413824352477,118.02012398950647,94.8,0.0518944682075491,-43.36695442587725,151.7991179181965,0,1,3.25
17,4.0,0,14.973170172284703,71.19625827040826,19.173011894719075,1,0.6783905539619974,125.35662779502591,1.5573398804805345,5,0,113.54892979177116,0,0,0,0.5701149905469478,2.0,0,0,0,0,0.7071626712579546,1,2,84.33402019116885,0,2,108.9384863248536,115.8620544863835,108.14,0.0451671028694868,-33.89223604263279,136.4809158269887,0,1,3.62
19,5.0,0,15.180190460346552,69.52368806229495,18.911509222439424,1,0.7432703191313329,125.88986895653304,1.2719356012917198,6,0,111.91894281660896,0,0,0,0.5254754383956883,2.0,0,0,0,0,0.7594846882172082,1,2,100.75889440468464,0,2,135.55657649332557,109.6215647199389,123.51,0.0425811859490791,-29.050345611389066,127.78689240827444,0,1,3.76
20,5.0,0,13.206248345831114,69.95463158875981,23.959083180570563,1,0.9212469923616556,119.5134162345996,1.8275760561371728,6,0,95.72251248305469,0,0,0,0.6352930549698548,2.0,0,0,0,0,0.6110579242547812,1,2,25.67702780889899,0,2,120.1292670855177,103.20760918952917,123.45,0.0439471474020902,-35.99139820379941,146.34864055347808,0,0,3.98
21,6.0,0,15.919944567693657,69.87951681258363,23.50671740750368,1,0.8567741221390269,126.63825110188506,2.451301464360601,7,0,115.41382670766646,0,0,0,0.4731799079072844,2.0,0,0,0,0,0.6207785552918198,1,2,108.80350870606324,0,2,158.31308881860684,110.36781532150366,138.74,0.0433647072309179,-24.95173561988011,122.51554783322288,0,1,3.81
23,7.0,0,15.628378678838564,63.886545088313134,6.146965759162364,1,0.7102688409030519,129.0459475303177,2.8766409149260035,8,0,119.2168678217085,0,0,0,0.43442605858601,1.0,0,0,0,0,0.8478883846511579,1,2,115.85471137445384,0,2,182.06296389139644,111.73009521109194,154.06,0.0384648840094387,-23.252160016889395,120.41303014656776,0,0,3.78
24,7.0,0,14.196844698819575,68.2342847014452,7.145423127159609,1,0.6880421818560744,104.8266138849039,2.272670170443212,8,0,82.63435142033606,0,0,0,0.6947270687489867,2.0,0,0,0,0,0.7361649905506692,1,2,42.97102962365911,0,2,171.19160296594947,91.17000173990564,154.3,0.0384807558153738,-27.076422683959528,128.700029863474,0,1,4.09
25,7.0,0,14.11738357175663,69.0653140858843,19.181318821573765,1,0.8082580039745423,154.8429681934968,2.311998942357128,8,0,128.76866079858837,0,0,0,0.3582333801949763,2.0,0,0,0,0,0.7218975429043217,1,2,119.71178756115462,0,2,166.19199670415207,126.14585888077616,155.18,0.0412257699900023,-26.21332591759056,150.7004402494903,0,1,4.36
27,0.0,0,15.22109798307842,68.60483479562983,18.356992887543772,0,0.7759302367317907,0.0,0.0,5,0,0.0,0,0,0,0.6607192214798676,1.0,0,0,0,0,0.7048692041461937,0,2,0.0,0,2,144.9914085338705,0.0,117.0,0.0447351098721081,-29.896563070368387,0.0,0,1,4.17
28,0.0,0,14.44642691416415,69.16207539812513,18.598915051518738,0,0.763238636493066,0.0,0.0,5,0,0.0,1,0,0,0.3441142006885662,1.0,0,0,0,0,0.7151239957379678,0,2,0.0,0,2,116.84018181908333,0.0,118.3,0.0498035285406461,-36.14166525567124,0.0,0,1,4.38
29,3.0,0,13.857664796449882,37.3,19.85637346226349,1,0.4927333474593312,0.0,0.0,4,0,0.0,1,0,0,0.2473974129983841,0.0,0,0,0,0,0.6332140660674527,1,0,0.0,0,2,136.27798744485057,0.0,83.72,0.0551375633028044,-21.17891174986713,0.0,0,1,4.6
30,4.0,0,14.147349429531223,37.3,16.554013647885853,1,0.8249752268420897,0.0,0.0,5,0,0.0,1,0,0,0.2749376657092865,0.0,0,0,0,0,0.5399706270189355,1,0,0.0,0,2,160.68845734846897,0.0,98.32,0.0507026175687657,-17.30269723704041,0.0,0,1,4.5
31,5.0,0,14.31841187450095,37.3,17.14943234202641,1,0.8819441023858844,0.0,0.0,6,0,0.0,1,0,0,0.2496692677092228,0.0,0,0,0,0,0.5701201812784207,1,0,0.0,0,2,183.29248689417105,0.0,113.35,0.0486064839811568,-14.637306275249518,0.0,0,1,4.69
32,7.0,0,14.213200498366394,37.3,7.118665215720119,1,0.64857051340506,0.0,0.0,8,0,0.0,1,0,0,0.2484565574620438,0.0,0,0,0,0,0.7896975508791731,1,0,0.0,0,2,224.69526115628696,0.0,145.6,0.0425417609912928,-12.596998132233406,0.0,0,1,5.08
33,0.0,0,14.05323334628104,37.3,13.165660930494102,0,0.6536152540778717,0.0,0.0,5,0,0.0,1,0,0,0.2445878379821489,0.0,0,0,0,0,0.5677041561624285,0,0,0.0,0,2,182.4656187244622,0.0,107.31,0.0465283017808811,-16.71489383167601,0.0,0,0,4.75
34,3.5,0,14.484587122541914,37.3,16.740703792660163,2,0.8634112364344613,0.0,0.0,8,0,0.0,1,0,0,0.2750855524826595,0.0,0,0,0,0,0.776863464692186,2,0,0.0,0,2,219.20696270393117,0.0,138.19,0.0443449585538468,-13.609751264631171,0.0,0,0,4.59
38,2.0,0,16.195704443667108,79.9756459944716,26.47462509630732,3,0.7980926853922345,159.0572456958172,1.274845141183338,7,1,157.0060442232913,1,1,0,0.4736367208420352,2.0,0,1,0,1,0.6427351311944098,3,2,2.04682444589272,2,3,127.45886331662538,162.7111158109667,140.12,0.0501580183630483,-48.547015157743054,166.58730343830567,2,1,2.93
39,2.0,0,16.990519695938254,46.53,20.305376482980613,3,0.8863418186260281,0.0,0.0,6,1,0.0,1,1,0,0.6192674807833284,0.0,0,1,0,1,0.640948957369094,3,0,0.0,2,3,162.06424385898123,0.0,113.06,0.0542869664364681,-21.334637960161764,0.0,2,1,3.59
40,6.0,0,17.390413934456365,37.3,30.58323903529288,1,0.843417286690292,0.0,0.0,7,0,0.0,1,0,0,0.2164026832854288,0.0,0,0,1,0,0.0626552102838983,0,0,0.0,0,2,178.88068785876368,0.0,111.75,0.0620351549895803,-20.9138963781408,0.0,0,1,4.2
41,4.0,2,14.118998572204276,86.91637129051837,0.4786735772335248,1,0.7161804826385444,113.68295849563492,1.8294015180011367,6,0,114.61162254705285,0,0,1,0.509112814143058,2.0,0,0,0,0,0.7551826882287898,1,3,94.82837050340738,0,2,213.56126529738904,116.29643544428944,130.38,0.0373397997635106,-36.49464740238179,115.1540891842632,0,0,3.87
42,4.0,2,14.882806885916718,71.16123954896986,22.669462471414807,1,0.6277195288562936,113.84010338763323,1.865280613741343,6,0,115.2049045332914,1,0,2,0.2977196857338366,2.0,0,0,0,0,0.5998691917241106,1,2,94.0167133881618,0,2,127.19072174647393,117.47870523540672,125.39,0.0463783346559465,-32.67630514229666,115.70803850552306,0,1,4.26
43,4.0,2,14.04113254314738,54.12139817635386,16.491148092704556,1,0.8506942937777201,114.57540545495137,1.5225163003964135,6,0,114.85317987945176,1,0,2,0.3727361854619337,2.0,0,0,0,0,0.6458141075345936,1,1,94.65940854020408,0,2,159.3274200992412,116.59190169820316,119.46,0.0507579493415174,-26.129187616698697,116.29989997058448,0,0,4.38
44,3.0,2,13.654480049169187,86.85467427954009,0.9198095431110276,1,0.8933830274788859,138.7094047964349,1.5658064489226158,5,0,137.71375787232083,0,0,2,0.3422511935477072,2.0,0,0,0,0,0.6724971165784714,1,3,136.89655923811148,0,2,191.30629717730744,119.35058559117518,116.06,0.0418977510245668,-42.3649083199637,120.2953108576504,0,0,3.88
45,3.0,2,15.587311404034226,87.92832339046717,0.0,1,0.7936358600215251,93.9977488043321,1.9374347861812664,5,0,93.15765997735328,0,0,1,0.610344757860815,2.0,0,0,0,0,0.6848130271678016,1,3,1.0548911061763628,0,2,197.34768063677944,121.42755939744715,116.12,0.0430302321860851,-38.60939231003256,122.80469117821129,0,0,3.76
46,3.0,2,14.0155158725808,70.84517285325882,29.6529540983078,1,0.8768385890322357,139.00021620255487,1.7566844163238675,5,0,138.3991370834315,1,0,2,0.5204151179734238,2.0,0,0,0,0,0.6344759749408971,1,2,137.8334084369343,0,2,97.51218444357885,119.61589938095102,111.42,0.0491435615515878,-41.116119352302334,120.21531641079474,0,0,4.18
47,3.0,2,14.297587746066045,70.75356650173825,23.813603137410265,1,0.5080799050260356,92.78868137814882,2.020681750205496,5,0,92.2739458183724,1,0,1,0.4982124888499766,2.0,0,0,0,0,0.7492587809847537,1,2,0.8882775851017509,0,2,101.31351155442248,121.07029092954738,110.85,0.0469174897461607,-39.122115736370645,121.82365634361244,0,0,4.17
48,3.0,2,14.17988858829044,54.03459955497518,24.31529800073715,1,0.928441507217276,139.85730363513642,1.3859805176017377,5,0,139.3711936429449,1,0,2,0.3830469638272505,2.0,0,0,0,0,0.6742527446752573,1,1,139.4340385868657,0,2,135.25500326426263,119.99615746978326,105.88,0.0561694339204862,-31.451266215924704,120.50123834492138,0,1,4.35
49,3.0,2,14.252234031858093,37.3,20.78924813265662,1,0.7667598716682484,0.0,0.0,5,0,0.0,1,0,2,0.2495747233487782,0.0,0,0,0,0,0.6285974469734138,1,0,0.0,0,2,165.8688649715117,0.0,100.02,0.0511926023790572,-18.048125936982665,0.0,0,1,4.79
50,3.0,2,13.819958855955097,37.3,15.807798899591932,1,0.4344441799756103,0.0,0.0,5,0,0.0,1,0,1,0.2423006696766244,0.0,0,0,0,0,0.7229887604143188,1,0,0.0,0,2,167.478328944974,0.0,99.56,0.0498088347008651,-17.406283803217896,0.0,0,1,4.83
54,2.5,0,14.484191739185649,72.88768416713668,23.37407340477044,2,0.6412310445619058,112.16106470266148,3.848881189950276,6,0,90.6369958878736,0,0,0,0.725710490034997,2.0,0,0,0,0,0.7943767012216993,2,2,8.070523533794681,0,2,115.89050146707916,99.81931863729838,120.04,0.044296488990807,-38.65732998554312,138.14534621770127,0,1,3.85
55,3.0,3,10.906524800547963,59.79356231948664,7.412865128243334,2,0.6535688493179275,134.08033581910033,5.3553461943755885,6,1,177.91639466458147,0,0,2,0.4408458197457243,2.0,1,1,0,0,0.7362867970474188,2,2,179.99975927383207,0,0,185.6363657511909,172.1005624640552,116.31,0.0352446953309879,-16.940435357676453,131.45526913885928,0,1,8.89
56,3.0,3,10.747959976655064,60.02130074772376,8.598923548762269,2,0.7018347438206075,133.26464198385804,5.495946305259386,6,1,126.27798523772334,0,0,1,0.5216363474133995,2.0,1,1,0,0,0.7533120850449968,2,2,1.1091799850454742,0,0,184.94275715718703,132.6236933422317,116.12,0.0352788221553065,-17.38097898800428,147.48099976730327,0,0,8.95
57,6.0,0,10.452837258190042,58.14926115243634,0.0,1,0.5754646851032826,179.62887267636054,1.464030600530468,6,0,108.43977408369923,0,0,0,0.5640723171404886,2.0,1,0,0,0,0.7462150972744016,1,2,179.9999779998691,0,0,202.83670844010567,103.35809005665888,123.82,0.0331072084393549,-15.494784304712097,156.2329303495702,0,1,9.45
58,6.0,0,8.866744542046902,26.02,109.8126700351026,1,0.5254276657029684,0.0,0.0,6,0,0.0,1,0,0,0.157107849201661,0.0,1,0,0,0,0.6174326530489427,1,0,0.0,0,0,254.7390393327895,0.0,112.24,0.037634006999398,-4.748484091271335,0.0,0,1,10.58
59,3.0,3,8.839565111105218,26.02,59.54425490849066,2,0.5702527224295887,0.0,0.0,6,1,0.0,1,0,1,0.1609266917403991,0.0,1,1,0,0,0.8501290722504071,2,0,0.0,0,0,245.3414983411921,0.0,105.88,0.0353827641955877,-5.158668566700779,0.0,0,0,9.79
60,3.0,3,9.102344591002913,26.02,109.4997390377987,2,0.7503081365758767,0.0,0.0,6,1,0.0,1,0,2,0.1521618376009012,0.0,1,1,0,0,0.7222249427892329,2,0,0.0,0,0,251.0761832033048,0.0,105.73,0.0378194280714808,-4.919435614267819,0.0,0,1,9.77
61,2.0,0,11.659450587065294,64.03516720125688,0.1023189878464665,3,0.7404970060846187,100.32874206047248,3.1163370702433,6,1,99.95819044399354,0,1,0,0.5948708941622305,3.0,2,1,0,1,0.7505699181587168,3,3,1.359166876466238,2,0,274.41736214560655,130.43731951906472,120.26,0.0210488557121159,-16.635291290787293,119.08131786286008,2,0,6.52
62,5.0,0,12.401989379557598,62.40727775366543,0.6218466166880408,1,0.6871393895102906,109.40828044842353,3.1955386085650725,5,0,111.45287916905978,0,0,0,0.4361484191903159,2.0,2,0,0,0,0.5885962814715089,1,3,69.44969424975227,1,0,271.73318734894764,127.22352044618076,112.97,0.0243829216979937,-17.695037036129786,117.32397489976206,1,1,6.06
64,5.0,0,8.084861959131718,12.03,73.7491338855815,1,0.2857161364457449,0.0,0.0,4,0,0.0,1,0,0,0.1916940831103472,0.0,2,0,0,0,0.5491078654978186,1,0,0.0,1,0,214.68604371712087,0.0,80.76,0.0364521685065292,-3.8991210580713127,0.0,1,0,11.29
66,3.5,0,11.97173591790953,62.45241379418578,0.1084972516026432,2,0.7088373089452366,100.17253184454503,2.356016855404396,7,1,98.6826524145677,0,1,0,0.5587175445363701,3.0,2,1,0,1,0.8002783287235606,2,3,21.935990059259293,1,0,289.50766346993663,128.287315856895,134.78,0.019668034916029,-15.021862217054684,117.95604260536383,1,1,6.23
67,2.67,0,12.727607096870784,59.70248636110354,0.114676151706168,3,0.6101410357351497,95.07045546283022,2.98082029107338,8,1,91.17949846105068,0,1,0,0.5869500310104571,3.0,2,1,0,1,0.9301444275816604,3,3,2.6122304011075688,2,0,308.72515397183554,124.78062163489048,151.15,0.0213387464978359,-13.303890101190229,114.06836340652866,2,1,6.56
68,6.0,0,13.5628588609996,61.56511700200023,0.2197597340508357,1,0.5851234407622666,95.54620018443968,2.777241635738379,6,0,91.52482156833511,0,0,0,0.5749754274978559,2.0,2,0,0,0,0.5980347412990598,1,3,3.394396292140802,1,0,297.842740441624,124.91263704118492,128.63,0.0231736879472337,-15.139432118488186,114.57868372794714,1,0,6.41
69,3.5,0,7.525724625507351,12.03,56.799362884680775,2,0.4604887470163242,0.0,0.0,6,1,0.0,1,1,0,0.210356791083545,0.0,2,1,0,1,0.8687485293334396,2,0,0.0,1,0,233.92289065788745,0.0,102.71,0.0310371508768349,-4.3412905995334725,0.0,1,0,10.42
70,2.67,0,8.455394269080593,12.03,72.46559474279975,3,0.5741607963161224,0.0,0.0,8,1,0.0,1,1,0,0.1824131694939508,0.0,2,1,0,1,0.8921226261147582,3,0,0.0,2,0,287.1046216385895,0.0,135.15,0.0298416922865278,-3.4503518111125384,0.0,2,0,11.27
71,2.67,0,8.588945438461243,12.03,78.95225339942887,3,0.3525317147977195,0.0,0.0,7,1,0.0,1,1,0,0.1906619418220935,0.0,2,1,0,1,0.9814487068187568,3,0,0.0,2,0,264.1457248663834,0.0,118.66,0.0335226935186599,-3.033325320619394,0.0,2,0,10.89
72,6.0,0,8.80505866225216,12.03,84.02424523290729,1,0.3336512394934317,0.0,0.0,5,0,0.0,1,0,0,0.1745796534962748,0.0,2,0,0,0,0.560811830789086,1,0,0.0,1,0,242.6892370128164,0.0,96.08,0.0364074954018465,-3.028724297328809,0.0,1,0,11.12
73,4.0,0,13.02682761339544,59.73563076980709,0.1146981129844174,2,0.5993954453049811,100.5433318708424,2.6360462607461312,8,1,99.6408048541743,0,1,0,0.5272622283545724,2.0,2,1,0,1,0.8354239187323663,2,3,36.56187855185709,1,0,310.1540284817729,127.16324567262224,150.69,0.0210485284278226,-13.188726807092303,116.27151669294491,1,0,5.96
74,4.0,0,8.703456769998477,12.03,90.03124788229277,2,0.4264253948616889,0.0,0.0,7,1,0.0,1,1,0,0.2000036540166612,0.0,2,1,0,1,0.8210285999012641,2,0,0.0,1,0,269.0217814828212,0.0,118.39,0.0346001042955281,-2.8808474029418587,0.0,1,0,10.38
75,4.0,0,8.342261322289374,12.03,70.13875202144092,2,0.5610676095373368,0.0,0.0,8,1,0.0,1,1,0,0.1959863753014646,0.0,2,1,0,1,0.900823132693917,2,0,0.0,1,0,283.9289336093305,0.0,134.59,0.0292056604429753,-3.719154219938331,0.0,1,0,10.99
76,4.5,0,11.252780474449692,42.49468024088932,0.0,2,0.5526668925360673,96.39855355912536,1.9215948301827377,8,1,91.10160420796682,0,1,0,0.6093859319211771,4.0,2,1,0,1,0.8879606913886274,2,2,3.1151213395532555e-05,1,0,233.82306274109385,104.21508491216728,144.84,0.0304427524046238,-9.35505742636052,109.90855240009604,1,1,9.41
77,4.5,0,11.262069608921024,74.14865816878611,0.0,2,0.4361369694379315,156.22567930439075,3.3227288793205743,8,1,165.6020066354694,0,1,0,0.3029081367096143,6.0,2,1,0,1,0.9330308057914132,2,4,179.99991563438834,1,0,187.4137500643768,159.4834597469348,154.78,0.0268863819510422,-29.93532095285192,151.8113360249826,1,1,6.37
78,4.5,0,10.553237978607402,41.816838632905046,0.0,2,0.4690836060104572,154.90334497887645,4.731126314725333,8,1,166.94151171489003,0,1,0,0.3794261579206199,2.0,2,1,0,1,0.8857033155023167,2,2,179.9999809937789,1,0,230.58518199341864,160.60294124603206,144.33,0.0270295060801115,-12.176623330779975,150.69676831994067,1,0,7.72
79,4.5,0,9.222276522984163,12.03,69.80233036196336,2,0.4138027514049006,0.0,0.0,8,1,0.0,1,1,0,0.1686398537241366,0.0,2,1,0,1,0.9062576665616046,2,0,0.0,1,0,275.49058624326574,0.0,133.74,0.0315231745006452,-3.05343776869273,0.0,1,1,10.86
80,4.5,0,12.88355499753134,54.28975266735616,0.0,2,0.3916831244528449,155.02051180570177,4.383983126659072,7,1,167.72553248540325,0,1,0,0.078592561408085,2.0,2,1,0,1,0.9157235991197747,2,2,179.99998330160878,2,1,209.346344072206,161.4533702325796,135.82,0.0375369742534813,-23.37638530329152,150.9549587794686,2,1,8.05
81,4.5,0,11.001328581556466,21.26,143.5549552538719,2,0.5367621156043124,0.0,0.0,7,1,0.0,1,1,0,0.5214434976563393,0.0,2,1,0,1,0.8368539184112628,2,0,0.0,2,1,259.2236997189422,0.0,126.18,0.0439888923326127,-5.094740410105151,0.0,2,1,10.4
82,4.5,0,10.842782105401202,46.17,1.7026100313511967,2,0.714015718988859,0.0,0.0,7,1,0.0,1,1,0,0.9016780603626704,0.0,2,1,0,1,0.7840884055879828,2,0,0.0,2,2,224.66556597690095,0.0,150.34,0.0307545589834234,-12.121442396199404,0.0,2,1,8.14
83,4.5,0,11.942380349190588,74.92592392164354,0.0,2,0.5602394652735638,159.48659617384516,4.50968486522865,7,1,161.21327527907144,0,1,0,0.5552602408314704,2.0,2,1,0,1,0.843522076556049,2,2,179.9999649071584,2,2,191.4125452017172,155.57080645873697,162.49,0.0288940223423599,-33.237147993264884,154.22180345203836,2,0,5.27
84,4.0,0,10.012807404316003,39.03031081918064,0.0,2,0.4393866937909215,151.39628990582696,4.045330296287494,7,1,173.134352492089,0,1,0,0.3818506946223065,2.0,2,1,0,1,0.847967831608704,2,2,179.99992018188388,1,0,212.80856108401784,166.50892665809138,127.77,0.0301248924180909,-14.593607123843055,148.48834166820103,1,1,7.69
85,4.0,0,9.103080823561216,12.03,77.24749339019965,2,0.5134963398083366,0.0,0.0,7,1,0.0,1,1,0,0.1635446947143438,0.0,2,1,0,1,0.8088972740160277,2,0,0.0,1,0,263.51883209758955,0.0,118.3,0.0335865345531782,-3.026447274141851,0.0,1,0,10.53
86,6.0,0,9.745092525622216,44.10119077053922,0.0,1,0.3552743802930684,164.03905599412676,4.234319055597881,5,0,157.44247091244205,0,0,0,0.3954952026286604,2.0,2,0,0,0,0.5688292609272105,1,2,179.9999651716629,1,0,186.92461539597983,152.6237843637439,106.47,0.0327681257771497,-18.761225548067262,158.03172746358712,1,1,7.75
